Chr	Start	End	fill	species	size	color
NA	1	3793322	fcb06b	Amborella	10	fcb06b
NA	1	3666727	fcb06b	Amborella	10	fcb06b
NA	1	3630538	fcb06b	Amborella	10	fcb06b
NA	1	3745557	fcb06b	Amborella	10	fcb06b
NA	1	3588453	fcb06b	Amborella	10	fcb06b
NA	1	3548859	fcb06b	Amborella	10	fcb06b
NA	1	3568992	fcb06b	Amborella	10	fcb06b
NA	1	3600223	fcb06b	Amborella	10	fcb06b
NA	1	3533628	fcb06b	Amborella	10	fcb06b
80	1	3254339	fcb06b	Amborella	10	fcb06b
NA	1	3248084	fcb06b	Amborella	10	fcb06b
NA	1	3173775	fcb06b	Amborella	10	fcb06b
NA	1	3070426	fcb06b	Amborella	10	fcb06b
NA	1	3047370	fcb06b	Amborella	10	fcb06b
NA	1	3064904	fcb06b	Amborella	10	fcb06b
NA	1	3105707	fcb06b	Amborella	10	fcb06b
NA	1	3104487	fcb06b	Amborella	10	fcb06b
NA	1	3069342	fcb06b	Amborella	10	fcb06b
NA	1	3118961	fcb06b	Amborella	10	fcb06b
90	1	3148102	fcb06b	Amborella	10	fcb06b
NA	1	2884017	fcb06b	Amborella	10	fcb06b
NA	1	2989607	fcb06b	Amborella	10	fcb06b
NA	1	2935351	fcb06b	Amborella	10	fcb06b
NA	1	2857628	fcb06b	Amborella	10	fcb06b
NA	1	3004207	fcb06b	Amborella	10	fcb06b
NA	1	2820768	fcb06b	Amborella	10	fcb06b
NA	1	2812123	fcb06b	Amborella	10	fcb06b
NA	1	2832988	fcb06b	Amborella	10	fcb06b
NA	1	2678520	fcb06b	Amborella	10	fcb06b
100	1	2599581	fcb06b	Amborella	10	fcb06b
1	1	23037639	078dd8	Grape	10	078dd8
2	1	18779844	078dd8	Grape	10	078dd8
3	1	19341862	078dd8	Grape	10	078dd8
4	1	23867706	078dd8	Grape	10	078dd8
5	1	25021643	078dd8	Grape	10	078dd8
6	1	21508407	078dd8	Grape	10	078dd8
7	1	21026613	078dd8	Grape	10	078dd8
8	1	22385789	078dd8	Grape	10	078dd8
9	1	23006712	078dd8	Grape	10	078dd8
10	1	18140952	078dd8	Grape	10	078dd8
11	1	19818926	078dd8	Grape	10	078dd8
12	1	22702307	078dd8	Grape	10	078dd8
13	1	24396255	078dd8	Grape	10	078dd8
14	1	30274277	078dd8	Grape	10	078dd8
15	1	20304914	078dd8	Grape	10	078dd8
16	1	22053297	078dd8	Grape	10	078dd8
17	1	17126926	078dd8	Grape	10	078dd8
18	1	29360087	078dd8	Grape	10	078dd8
19	1	24021853	078dd8	Grape	10	078dd8
1	1	96007009	139b08	Liriodendron	10	139b08
2	1	99473975	139b08	Liriodendron	10	139b08
3	1	96689308	139b08	Liriodendron	10	139b08
4	1	76263199	139b08	Liriodendron	10	139b08
5	1	63449182	139b08	Liriodendron	10	139b08
6	1	65192789	139b08	Liriodendron	10	139b08
7	1	87369336	139b08	Liriodendron	10	139b08
8	1	64408360	139b08	Liriodendron	10	139b08
9	1	58375695	139b08	Liriodendron	10	139b08
10	1	68352314	139b08	Liriodendron	10	139b08
11	1	70397449	139b08	Liriodendron	10	139b08
12	1	69840316	139b08	Liriodendron	10	139b08
13	1	75054824	139b08	Liriodendron	10	139b08
14	1	74942525	139b08	Liriodendron	10	139b08
15	1	56984379	139b08	Liriodendron	10	139b08
16	1	67893758	139b08	Liriodendron	10	139b08
17	1	54703317	139b08	Liriodendron	10	139b08
18	1	63323318	139b08	Liriodendron	10	139b08
19	1	57223572	139b08	Liriodendron	10	139b08
