Species_1	Start_2	End_2	Species_2	Start_1	End_1	fill	type
40	4165767	1665085	6	19064028	20229538	cccccc	1
2	9226525	7642815	7	3	859488	cccccc	1
9	2896366	1177570	7	5816980	6611750	cccccc	1
39	5376552	4280684	7	7295998	8072533	cccccc	1
45	2507290	1030881	7	4503236	5035278	cccccc	1
57	2527548	1803395	7	17269508	17884000	cccccc	1
67	83715	1674233	7	6177974	6994273	cccccc	1
67	2229721	1547725	7	9926331	11646189	cccccc	1
78	1724422	3220525	7	17482152	18041933	cccccc	1
77	3343035	2144658	8	115793	917350	cccccc	1
4	1083548	1856198	8	1967056	4341046	cccccc	1
4	963368	2887507	8	2311566	5791342	cccccc	1
4	1727415	1179011	8	2442720	3022014	cccccc	1
30	1825800	3203762	8	5773528	7376616	cccccc	1
7	3593341	4767232	8	9966775	10660941	cccccc	1
77	205524	1487333	8	10305229	10869157	cccccc	1
2	11285742	9961968	8	12677750	14027606	cccccc	1
19	5396200	4452840	8	13649237	14426997	cccccc	1
12	2678556	8471239	8	14487267	15357757	cccccc	1
29	3039990	5910681	8	15616119	16310409	cccccc	1
40	2863066	5215535	8	17340711	18188819	cccccc	1
69	2219308	1131727	8	17534972	18195686	cccccc	1
10	8836886	8319395	8	20865562	21670454	cccccc	1
24	5978191	3732451	9	739070	1397650	cccccc	1
33	3590811	2722271	9	8307540	9677470	cccccc	1
36	758020	3476888	9	1271984	1798825	cccccc	1
46	920114	2791744	9	6898194	7576729	cccccc	1
56	3704188	314306	9	2460725	3707642	cccccc	1
21	4175190	114712	10	1589005	2746235	cccccc	1
29	213451	1161041	10	12745172	16310024	cccccc	1
32	1222344	1782118	10	14814376	15561858	cccccc	1
45	1360928	534729	10	4494287	5385100	cccccc	1
45	1463433	259570	10	10553196	13325106	cccccc	1
78	3592497	2453160	10	12546011	13679717	cccccc	1
92	1558185	61428	10	6564521	7435455	cccccc	1
92	2442245	544403	10	11208318	13498507	cccccc	1
92	1311599	68103	10	10522986	12058273	cccccc	1
2	8774435	7424948	11	3795018	4448287	cccccc	1
19	518591	2210470	11	9158962	10946544	cccccc	1
19	6930485	5728872	11	16646024	18939358	cccccc	1
19	5700828	3995893	11	17905216	18937226	cccccc	1
19	3931526	3389385	11	19034420	19636639	cccccc	1
24	5954764	3732451	11	788146	1316459	cccccc	1
25	3558415	2170769	11	15060400	17027036	cccccc	1
25	5161787	4107303	11	3695731	4349772	cccccc	1
25	3847216	3082141	11	10944913	12838811	cccccc	1
26	3390035	123304	11	6539122	7114040	cccccc	1
33	3939392	2317301	11	5843910	6487240	cccccc	1
46	896247	3172264	11	5028990	5913079	cccccc	1
56	3350944	170816	11	2179792	2781201	cccccc	1
3	11004065	9731142	12	8182606	8942206	cccccc	1
21	109575	3665022	12	2724946	3481850	cccccc	1
32	2807137	1322137	12	733797	1546417	cccccc	1
61	4033345	1057057	12	9753427	10291128	cccccc	1
77	3538241	1985902	12	1701089	3022619	cccccc	1
88	2844949	1567158	12	9070744	9908324	cccccc	1
99	14319	2480999	12	20973791	22405751	cccccc	1
12	4547408	6683027	13	2759451	3342959	cccccc	1
12	4509776	2263734	13	2767322	3269087	cccccc	1
40	5112877	4607539	13	7508502	8346475	cccccc	1
40	3879326	2098101	13	8077386	10484163	cccccc	1
30	4545431	3243896	13	13413304	14232896	cccccc	1
29	1763498	1161041	13	21182229	22242559	cccccc	1
22	6677167	3686545	13	22588107	23475558	cccccc	1
22	2529373	3392047	13	23700261	24277215	cccccc	1
2	9690996	8126079	14	7260669	8502540	cccccc	1
6	9035530	6183973	14	22377895	23194222	cccccc	1
10	5984891	7986296	14	28664569	29780859	cccccc	1
19	5857816	4694718	14	28359278	28888314	cccccc	1
22	214193	1131899	14	29031588	29536515	cccccc	1
45	2526087	4722553	14	878191	1854827	cccccc	1
47	3944547	4959146	14	23416516	23949084	cccccc	1
61	2756842	1726291	14	26757937	27328806	cccccc	1
67	308172	1084057	14	10185999	11107766	cccccc	1
74	3558490	2801814	14	387626	966717	cccccc	1
78	696846	1933663	14	28664569	29203683	cccccc	1
79	3499989	886528	14	20430067	21865827	cccccc	1
99	2108710	778808	14	29448389	30072330	cccccc	1
99	1500322	649569	14	26710311	27497699	cccccc	1
2	1866104	3742803	15	10388356	11677870	cccccc	1
2	2229080	1719326	15	9857781	10762760	cccccc	1
9	3721881	7865415	15	18666221	20253423	cccccc	1
21	4267100	6396539	15	17284082	17804928	cccccc	1
1	3070087	3814637	16	14577075	15610731	cccccc	1
1	9875021	8458509	16	13531881	14964384	cccccc	1
9	7765578	3793560	16	16737775	18045399	cccccc	1
29	5713021	4933844	16	18445146	19206556	cccccc	1
40	2195544	4034664	16	14299091	16198817	cccccc	1
41	1292766	36904	16	13715872	14299549	cccccc	1
48	368616	3393497	16	1701056	3326821	cccccc	1
69	2922375	738629	16	14577075	16210275	cccccc	1
69	2801397	2203008	16	15057516	15727282	cccccc	1
2	8639219	7343110	17	5399435	6081310	cccccc	1
6	9035530	7288532	17	4601342	5136309	cccccc	1
10	6371843	9063540	17	6410783	7066724	cccccc	1
10	2439851	1246398	17	1631169	2381736	cccccc	1
10	7914551	7141176	17	6668795	7310961	cccccc	1
16	2417620	5002646	17	37072	757895	cccccc	1
24	6291156	5541498	17	1475025	2381736	cccccc	1
45	2017245	2647363	17	5835144	6356415	cccccc	1
49	3377742	4923704	17	10401258	11022885	cccccc	1
49	5087572	3702073	17	10011352	11465940	cccccc	1
58	2652506	4086525	17	9117718	9726791	cccccc	1
79	3363778	1031567	17	3160676	3661380	cccccc	1
85	2597761	317349	17	9989722	10498141	cccccc	1
1	2033057	3770713	18	1431364	2733051	cccccc	1
3	1659115	831162	18	836207	1620812	cccccc	1
9	5476381	3209494	18	12620842	13490580	cccccc	1
10	5452110	2812514	18	3700696	4319266	cccccc	1
17	5252778	6786482	18	1743095	2675106	cccccc	1
22	1168817	2476338	18	70324	592083	cccccc	1
24	5671197	6544677	18	12763512	13916358	cccccc	1
30	2106518	1157334	18	14023149	16233137	cccccc	1
33	5399824	4007623	18	5715724	6286473	cccccc	1
45	2222452	3227496	18	12545316	13478521	cccccc	1
59	4222532	1289652	18	9603491	10444964	cccccc	1
65	236427	3175303	18	6994164	7715556	cccccc	1
71	3097971	3765254	18	26773546	27312220	cccccc	1
77	2645641	1869356	18	8069331	8809180	cccccc	1
99	738790	2453965	18	27892542	29315306	cccccc	1
21	1809353	4202603	19	1707627	2702129	cccccc	1
30	2138757	1261447	19	3913873	4799404	cccccc	1
32	2921714	1916199	19	2128668	3035335	cccccc	1
32	5352459	4216698	19	10676928	12662567	cccccc	1
61	902269	2580868	19	9245492	10418518	cccccc	1
61	4312644	2623616	19	8666997	9239572	cccccc	1
1	4761181	2347768	10	56420043	57799001	cccccc	2
1	15803215	14230004	18	3709696	6320475	cccccc	2
1	5765134	4655046	2	51307995	52741285	cccccc	2
1	3391406	2034007	2	13310095	14843472	cccccc	2
1	7996463	9355206	4	9214121	10702756	cccccc	2
1	7941133	6624229	4	7833213	9078599	cccccc	2
1	6182436	7858159	9	30493605	31792803	cccccc	2
1	9374778	7972869	9	28123205	30637215	cccccc	2
1	11695187	9420479	9	35939907	39688575	cccccc	2
2	7945378	10004216	4	12514020	18944891	cccccc	2
2	1771876	2977542	4	69266734	70756988	cccccc	2
2	4274060	2742726	4	69430480	70949145	cccccc	2
2	10808826	9077365	6	776603	2276524	cccccc	2
2	1739361	4785352	9	51629923	53946169	cccccc	2
2	10477172	7964550	9	23018987	27546277	cccccc	2
3	3240930	5502583	17	39550387	40914202	cccccc	2
3	1578146	173232	17	40032878	41534529	cccccc	2
3	5385090	2879069	18	58156695	60949161	cccccc	2
3	2878086	1266384	6	1192486	3060680	cccccc	2
4	118946	2564645	4	2556218	7660544	cccccc	2
5	4894601	3231356	6	39990050	43516668	cccccc	2
6	7796738	6788456	11	12421394	13551359	cccccc	2
6	4151262	8210795	8	9659758	17814821	cccccc	2
7	9470342	7349691	5	61442723	62576325	cccccc	2
8	443123	2318656	2	13678013	14819770	cccccc	2
8	7975584	2946033	2	7709719	9277600	cccccc	2
8	2945724	5688341	7	8017246	9350967	cccccc	2
9	4277278	2810513	14	9641973	11743153	cccccc	2
9	5435253	2541118	17	7059461	10810232	cccccc	2
9	9111214	7914666	17	116149	2687937	cccccc	2
9	1475848	378108	17	14531250	15899052	cccccc	2
9	3230110	4869450	18	1891406	3575139	cccccc	2
9	3785310	1395286	18	12604625	15942942	cccccc	2
9	3765835	5608042	2	97174703	98986949	cccccc	2
9	4854971	6326821	4	74419190	75970028	cccccc	2
10	2577907	1324868	12	26571015	30836215	cccccc	2
10	9028148	7742148	12	49569425	54400978	cccccc	2
10	7163579	5733387	13	72024822	74215477	cccccc	2
10	5408029	4360118	17	38917759	40904334	cccccc	2
10	8937315	5605232	2	24838	3762335	cccccc	2
10	4482800	2812514	2	4096132	5985573	cccccc	2
10	6451291	7571160	7	24701760	27762807	cccccc	2
10	9068272	2764687	7	171665	6309911	cccccc	2
11	3031129	6118912	13	73715292	74957153	cccccc	2
11	2874124	6760267	7	85898260	87368426	cccccc	2
12	850338	2263734	14	18615450	19947802	cccccc	2
12	6678629	2126331	14	11357079	15394714	cccccc	2
12	8424646	6985189	14	9669920	11355868	cccccc	2
12	2263258	708707	14	15830210	18690858	cccccc	2
12	416057	5461686	2	84789031	88332865	cccccc	2
12	6900507	5798829	6	13595276	16269629	cccccc	2
13	257449	5323397	3	7360841	11024229	cccccc	2
13	6206444	7980254	3	13046583	15371545	cccccc	2
13	7426123	6325997	3	13131138	14969155	cccccc	2
13	3029739	260081	5	2380288	3689595	cccccc	2
16	4197587	2419857	16	4881460	6161065	cccccc	2
16	3919691	2241602	17	49372176	51949562	cccccc	2
16	2443051	5002646	3	4651372	7241034	cccccc	2
16	7579904	5051963	3	9049	3103973	cccccc	2
16	2747707	1517897	3	4106012	5381907	cccccc	2
16	5017312	6711644	5	8829986	12246273	cccccc	2
16	4999657	2799599	5	3796065	5938938	cccccc	2
16	1490404	52308	5	6887133	8795490	cccccc	2
17	758348	2179636	13	12705968	14505642	cccccc	2
17	4384646	2972696	13	7366379	9246244	cccccc	2
17	5596476	6977768	2	16833314	18826424	cccccc	2
17	1576458	4612832	7	68316190	71641750	cccccc	2
17	5621435	7114834	7	18834711	21264328	cccccc	2
18	5842360	6970607	4	43969628	46509286	cccccc	2
18	3686163	1714829	4	27627387	30143820	cccccc	2
19	3264885	7081909	11	63458434	68335434	cccccc	2
19	133225	2980684	11	58536282	63457042	cccccc	2
19	6039680	4935116	5	56835979	58791872	cccccc	2
19	3295367	6813564	8	54474347	59391471	cccccc	2
19	107052	2980684	8	48720982	54551669	cccccc	2
21	1770219	4183168	3	88358236	90771169	cccccc	2
21	59210	1229026	3	87280371	88391883	cccccc	2
21	6242178	4595913	3	94043746	95419551	cccccc	2
21	6185673	114712	6	3671967	10411628	cccccc	2
22	1160812	6688552	1	88711611	94686616	cccccc	2
22	6005410	1212382	10	62681182	67212333	cccccc	2
22	1768582	221595	17	6460021	10119811	cccccc	2
22	2378735	1192456	2	96359279	97945768	cccccc	2
23	234099	2022145	14	61033388	63938631	cccccc	2
23	3004607	5434751	14	41830596	44660731	cccccc	2
24	4638143	6325971	12	25019826	27666436	cccccc	2
24	4433999	455393	12	24123	4340105	cccccc	2
24	17892	6031555	5	53190089	60601538	cccccc	2
25	2166697	4707627	11	67858311	70162387	cccccc	2
25	2200067	1199127	18	15151318	18766403	cccccc	2
25	5293224	3859236	7	3653526	5363877	cccccc	2
25	1996707	5005727	8	61448297	64198492	cccccc	2
26	72509	1809845	11	13766491	16188933	cccccc	2
26	357589	2555301	8	21317887	22691022	cccccc	2
27	3781974	4795140	4	50430068	51472507	cccccc	2
27	3635444	407983	4	48398933	50361442	cccccc	2
29	4679840	3018092	14	1443593	3592207	cccccc	2
29	5932009	4579919	14	94105	2912054	cccccc	2
29	4204178	3078457	17	8826396	10800062	cccccc	2
29	3039990	6138777	2	95998813	99471699	cccccc	2
29	20808	1793910	2	26158816	32458952	cccccc	2
29	20808	3010064	7	26010300	31558826	cccccc	2
30	5805995	4085369	1	53724382	57296145	cccccc	2
30	3873216	6114976	13	3025744	5837427	cccccc	2
30	1973959	3411354	13	129018	3001605	cccccc	2
30	1371353	3513072	19	54555935	57165822	cccccc	2
30	3310200	1659087	9	39681293	41623844	cccccc	2
31	6044	3159315	13	47440361	49215378	cccccc	2
32	1018205	2045410	15	43886968	45903612	cccccc	2
33	1718698	3992066	11	14770816	25677825	cccccc	2
33	3896250	5187997	16	66432134	67435292	cccccc	2
33	1949438	8442	16	4716590	6322552	cccccc	2
33	3896250	5767792	19	50354929	52753085	cccccc	2
33	3904027	2722271	8	35422365	41336946	cccccc	2
36	5554705	1422888	1	81418772	83366474	cccccc	2
36	280029	3065416	10	55812326	57161818	cccccc	2
36	5554705	2366795	10	54377667	55574877	cccccc	2
37	1848200	5311808	1	7096341	9027865	cccccc	2
39	1785797	206010	3	69908458	71223694	cccccc	2
39	5376552	3978632	6	17415168	19161170	cccccc	2
40	4031372	1496448	13	38029356	46450325	cccccc	2
41	2872376	1783259	2	80690953	81897163	cccccc	2
41	536	1293498	9	44224929	45256186	cccccc	2
43	4260155	1230302	1	174966	2016672	cccccc	2
44	949012	2380298	8	59594570	61849534	cccccc	2
45	2477122	440659	17	37184472	39787809	cccccc	2
45	5022752	3570343	17	44933854	46830436	cccccc	2
45	519255	2410933	18	60256639	62325110	cccccc	2
45	3568426	5052970	18	49318957	51700370	cccccc	2
46	5072346	3320170	16	65241178	66572124	cccccc	2
46	4453940	3151436	19	50026465	51302412	cccccc	2
47	4957528	638396	16	51890575	56900067	cccccc	2
47	3322256	1430450	16	53098725	55294549	cccccc	2
47	837181	2309158	19	6944857	8183764	cccccc	2
48	3582	4964226	4	71254910	75300978	cccccc	2
48	462152	4964226	9	54011505	57320549	cccccc	2
49	4832691	3599808	17	39671817	41300490	cccccc	2
49	3697965	4895512	3	24912693	27661499	cccccc	2
49	1272074	2084	3	45087730	48950768	cccccc	2
49	1809512	3182744	6	45410552	49944090	cccccc	2
53	3051057	1492103	12	65747768	68368909	cccccc	2
56	104870	4809985	1	77971356	81337803	cccccc	2
56	104870	4606691	10	49432417	54062974	cccccc	2
56	4593802	2910012	14	531015	2261628	cccccc	2
56	4192124	2751932	9	48447589	50284899	cccccc	2
57	2112489	1009355	13	72024822	73429567	cccccc	2
57	97397	1554276	17	42239009	43730400	cccccc	2
57	4310543	1714714	17	46943244	52001107	cccccc	2
57	1809787	4332347	18	41548931	48964394	cccccc	2
57	1605946	143556	18	53965676	56251926	cccccc	2
58	2480493	4402319	13	69430114	71326029	cccccc	2
58	2525750	3688104	6	57609448	59017558	cccccc	2
58	3634221	2463839	7	79433247	81202412	cccccc	2
59	3627984	2381813	15	54245481	55728795	cccccc	2
59	3412351	2064217	16	49486117	50771336	cccccc	2
59	1348028	77671	16	23388326	25133977	cccccc	2
59	4327598	1270469	19	53384367	56107233	cccccc	2
59	2902764	4222066	7	106741	1189365	cccccc	2
60	2247991	879320	12	5607313	7635467	cccccc	2
60	1079518	2140727	5	49895025	51561760	cccccc	2
61	312132	3380075	11	135830	7746290	cccccc	2
61	606959	2477744	11	1769433	6991374	cccccc	2
61	253390	2421747	8	221840	4593543	cccccc	2
61	292253	1726291	8	134454	4548551	cccccc	2
62	4911	1492830	1	5024574	6396489	cccccc	2
62	225361	1358229	15	22492004	25666267	cccccc	2
64	1126617	3816856	1	82926186	84276672	cccccc	2
64	1641710	3777783	10	55642816	56927961	cccccc	2
65	2771404	4182772	11	55575533	58469055	cccccc	2
65	218633	1691470	16	854919	2320986	cccccc	2
65	628655	3087417	19	42726597	44720838	cccccc	2
65	2814279	4076671	8	46503597	48642978	cccccc	2
67	1835752	458913	13	65110581	67849865	cccccc	2
67	1462617	3937932	3	65039630	68960969	cccccc	2
67	1788834	740446	3	64204236	66309814	cccccc	2
67	3929410	98996	6	22478810	28955670	cccccc	2
68	3952925	2122195	3	76362996	78152356	cccccc	2
68	2222451	3956393	6	13164710	14737947	cccccc	2
69	249530	3740038	4	50568407	57130035	cccccc	2
69	300393	2933918	9	39727102	43759731	cccccc	2
70	3654897	1308064	7	63990852	65890884	cccccc	2
71	3724837	2539092	2	21331369	23233547	cccccc	2
71	1697845	132865	2	14758716	15896055	cccccc	2
71	3753920	1882211	7	23891089	25078311	cccccc	2
77	359245	3161475	10	6385219	24341942	cccccc	2
77	366315	3257289	14	69110870	74894458	cccccc	2
77	2636325	1592978	14	71949597	74231930	cccccc	2
77	2280806	914369	15	53737094	56101974	cccccc	2
77	2645641	1227852	19	51553147	54456791	cccccc	2
77	3254098	2100831	6	20460934	22700588	cccccc	2
78	1586196	2831523	1	64401313	66569463	cccccc	2
78	3592497	2453160	1	65566131	67810339	cccccc	2
78	3389507	1592716	10	39429296	42212949	cccccc	2
78	3592497	2507053	11	42208128	54177094	cccccc	2
78	3516014	2507053	4	2664299	4622915	cccccc	2
79	1555563	89275	13	57278781	58652063	cccccc	2
79	3526879	165650	7	75769738	78694505	cccccc	2
80	145323	1804554	14	39308269	41798536	cccccc	2
81	2340675	15728	13	65496435	66860680	cccccc	2
85	2830274	1502106	17	10118429	11381405	cccccc	2
85	2350065	1246336	2	96710210	97867619	cccccc	2
91	1598615	151092	12	30696273	31924088	cccccc	2
92	292361	1551736	15	54601269	56474508	cccccc	2
92	1934988	361299	16	3812623	6726793	cccccc	2
95	1780800	188295	12	57976262	60260100	cccccc	2
95	215298	2176715	6	55573631	58251898	cccccc	2
99	2543891	136232	2	18269293	21313488	cccccc	2
99	2543891	109089	7	20997337	23889654	cccccc	2
3	4368852	5833766	19	52478063	57165822	cccccc	3
3	6804577	7852853	19	47256865	43854593	cccccc	3
19	7546763	8712554	19	3339121	7263232	cccccc	3
18	9656811	10684483	19	53528295	57047300	cccccc	3
14	23076317	24295609	19	7214600	15033823	cccccc	3
14	29846	1254953	18	62483972	54541492	cccccc	3
5	249473	1911416	18	59312103	50790977	cccccc	3
7	2865354	4673720	18	49318957	60923197	cccccc	3
14	4400599	5947324	18	41548931	45026889	cccccc	3
14	29846	1040088	17	37489351	41534529	cccccc	3
5	223761	1809826	17	39909322	45093341	cccccc	3
12	1992758	3074174	17	15148365	13392828	cccccc	3
7	2184278	4665168	17	51998355	38859686	cccccc	3
3	5692697	6775275	16	20964486	12507796	cccccc	3
3	9826460	11152131	16	66432134	65211365	cccccc	3
19	3867295	5326733	15	2922076	9527070	cccccc	3
19	4226619	5326733	15	6938175	10162377	cccccc	3
10	6527463	9015312	15	56579447	54230859	cccccc	3
10	10676776	13476958	15	50248554	55728795	cccccc	3
12	11524149	13762567	15	6894502	4215033	cccccc	3
10	14814376	16793646	15	44152278	46112511	cccccc	3
13	16597536	19508302	15	18176949	16428931	cccccc	3
19	22530547	23831896	15	33572244	37123871	cccccc	3
2	17196382	18778401	14	66201478	63588853	cccccc	3
9	5809342	6886066	13	66960610	63375183	cccccc	3
1	7333255	8728580	13	72599962	69643079	cccccc	3
13	7578648	9023613	13	29763038	26610396	cccccc	3
13	8077386	9745103	13	39287399	44314068	cccccc	3
17	9117718	11181325	13	69560623	74215477	cccccc	3
13	10281738	11316680	13	45213811	47471863	cccccc	3
1	10409284	11542757	13	72999993	71337687	cccccc	3
15	10802899	12935971	13	60111717	58652063	cccccc	3
10	12745172	13876220	13	73124417	72032835	cccccc	3
18	12964305	14210222	13	73417683	72234624	cccccc	3
14	17968534	19606440	13	62052303	60340417	cccccc	3
6	19262927	20721218	13	41156779	49555681	cccccc	3
14	26743587	27827843	13	73943676	69596539	cccccc	3
1	5011824	6435929	12	8245170	2495040	cccccc	3
6	13770734	15282047	12	32004893	29770766	cccccc	3
6	15071360	16325979	12	60711765	59317467	cccccc	3
13	21065763	22101472	12	68631416	66274241	cccccc	3
11	5751751	7006951	11	26266399	14856290	cccccc	3
4	7205148	8910939	11	64018657	62608518	cccccc	3
11	7646886	10946544	11	57310655	62443680	cccccc	3
9	7885352	9828107	11	22010852	19151166	cccccc	3
19	9010621	10619600	11	2636611	6886333	cccccc	3
12	9587814	11664649	11	5621516	3951884	cccccc	3
9	11232828	13614883	11	4466332	1970567	cccccc	3
6	12340340	13870715	11	5336469	3411161	cccccc	3
11	15393059	19781001	11	68945145	62867107	cccccc	3
1	15829216	17595167	11	13534782	11178038	cccccc	3
13	17259881	22242559	11	306933	5922383	cccccc	3
13	17259881	21576340	11	759311	6416452	cccccc	3
13	17259881	21356624	11	906430	6314552	cccccc	3
13	17259881	20536987	11	2155369	6399034	cccccc	3
13	17259881	19257709	11	5910874	3873317	cccccc	3
13	17318404	19928423	11	45249582	41948785	cccccc	3
13	17855703	22242559	11	306933	4808164	cccccc	3
13	17909661	21845181	11	47633	6314552	cccccc	3
12	18700974	19771021	11	1487796	324523	cccccc	3
12	18700974	19751723	11	44667285	41948785	cccccc	3
9	19877498	21918841	11	67110274	69631092	cccccc	3
13	20037047	21069368	11	55858312	54587982	cccccc	3
13	20211958	22242559	11	306933	6314552	cccccc	3
19	20501746	22074329	11	4227355	324523	cccccc	3
19	20606618	21967349	11	4789038	2822167	cccccc	3
11	2193249	3236286	10	53604533	47142649	cccccc	3
9	2664056	3859885	10	53749117	48205915	cccccc	3
9	3851816	4891937	10	40341776	38110096	cccccc	3
6	8145651	9367047	10	1463347	14887343	cccccc	3
10	10644348	12023607	10	57790586	55888638	cccccc	3
12	17549019	19000861	10	41208624	37731934	cccccc	3
4	21396355	22630739	10	63710969	61586092	cccccc	3
16	1157784	2778666	9	53443656	56380980	cccccc	3
2	3671249	4950534	9	41338895	45893876	cccccc	3
2	5412999	6761215	9	50609560	52605487	cccccc	3
16	5694611	10066306	9	49749892	47533409	cccccc	3
5	5781980	6960201	9	24144886	27766037	cccccc	3
14	6920790	9042507	9	24144886	28646422	cccccc	3
2	7633298	12715877	9	53195668	55327809	cccccc	3
15	9661911	11290149	9	52325352	50894345	cccccc	3
15	11695555	13155626	9	49749892	48438216	cccccc	3
16	11983302	13382498	9	45857109	46880233	cccccc	3
16	13169033	16198817	9	46071302	41174718	cccccc	3
15	13505714	15043183	9	48077228	44388844	cccccc	3
15	16064252	17226144	9	34135429	40957802	cccccc	3
2	17148473	18616543	9	57005691	58190120	cccccc	3
11	5211131	6371983	8	31722940	40778926	cccccc	3
4	7205148	8897396	8	55922430	53332650	cccccc	3
11	7656707	10946544	8	47794206	52327427	cccccc	3
9	8343207	10184197	8	37702723	42757129	cccccc	3
11	14530426	16924056	8	63584020	61944064	cccccc	3
1	15387184	16444672	8	11714685	15682588	cccccc	3
11	16646024	18934481	8	60147739	56182102	cccccc	3
9	18312379	19507055	8	51557588	49780522	cccccc	3
13	19849003	21898833	8	5224322	1156895	cccccc	3
9	21631466	22833617	8	62883795	64174411	cccccc	3
5	3710369	4853925	7	85335073	83523072	cccccc	3
18	3852152	5010968	7	4087796	8253340	cccccc	3
18	4453630	5643502	7	10723616	7325014	cccccc	3
17	9403896	10877438	7	83229566	85347339	cccccc	3
1	10409284	13926398	7	4238368	81089	cccccc	3
1	13920404	15900732	7	171665	1189365	cccccc	3
1	16879668	19190522	7	27938303	32112894	cccccc	3
2	17439361	18778401	7	4787723	2701830	cccccc	3
18	19093145	20633446	7	58137601	63137934	cccccc	3
14	20430067	21468747	7	76235366	78008581	cccccc	3
12	20577241	22432647	7	24888121	20243625	cccccc	3
4	22283991	23532718	7	17296440	19277174	cccccc	3
18	27892542	29315306	7	23165627	21112185	cccccc	3
19	85815	2079272	6	14348567	7040036	cccccc	3
10	1467066	3307545	6	5799657	11768181	cccccc	3
12	1968249	4179294	6	12664239	5208098	cccccc	3
10	2345176	3693480	6	15871988	12894666	cccccc	3
10	4942315	6193470	6	16145515	14854491	cccccc	3
7	6895843	8236567	6	23777421	20977364	cccccc	3
7	9362759	11781249	6	24096955	25880365	cccccc	3
17	9703479	11176644	6	3332930	1639282	cccccc	3
14	10040315	11107766	6	29296656	26470527	cccccc	3
17	11179544	12388274	6	44843915	50793879	cccccc	3
18	12668543	14329504	6	12999546	10250107	cccccc	3
6	12691618	13857601	6	63249776	59869970	cccccc	3
16	19472593	20726862	6	3462323	2429690	cccccc	3
16	19516022	20888112	6	1794362	4057963	cccccc	3
5	19746230	20958516	6	55725532	54061767	cccccc	3
