Gene	CT-1	CT-2	CT-3	Trait1-1	Trait1-2	Trait1-3	Trait2-1	Trait2-2	Trait2-3
Gene71	21.23	10.77	14.74	8.43	19.78	25.34	23.29	12.1	15.8
Gene72	176.26	181.21	143.19	166.77	153.58	163.42	136.67	162.09	200.46
Gene73	4065.89	902.24	848.88	3110.59	4257.71	1298.93	8327.78	6124.24	4278.96
Gene74	98.31	66.06	0.62	0	0	69.32	1.17	0.91	0
Gene75	10.18	0	0	0	0	0	0	0	0
Gene76	76.82	119.81	65.44	57.43	70.83	112.74	140.7	141.62	118.59
Gene77	6.52	7.72	10.55	12.79	6.33	8.1	4.93	4.7	9.2
Gene78	0	0	0	0	0	0	0	0	0
Gene79	0	0.13	0	0	0	0	68.75	0	4.05
Gene80	1168.07	1624.69	637.93	618.39	607.53	917.81	289.75	425.69	315
Gene81	38.77	39.7	41.71	57.67	77.22	54.35	48.86	48.63	62.31
Gene82	223.22	205.26	335.97	254.64	265.7	399.48	375.81	272.04	338.97
Gene83	3.91	7.39	12.08	12.38	6.51	11.73	10.83	9.87	13.44
Gene84	0	0	0	0	0	0	0	0	0
Gene85	0	0	0	0	0	0	0	0	0
Gene86	3.34	0	0	0	0	0.55	0.23	0.49	0.4
Gene87	0	0	0	0	0	0	0	0	0
Gene88	42.09	50.25	26.56	41.13	56.01	36.04	59.7	64.44	65.29
Gene89	0	0	0	0	0	0	0	0	0
Gene90	19	17.89	31.57	24.1	30.21	24.65	16.51	15.28	28.2
Gene91	3067.19	0	1937.35	1259.79	1995.64	0.18	2765.71	3118.15	2328.63
Gene92	292.94	274.01	338.45	300.77	304.39	286.48	306.01	289.07	329.78
Gene93	0	0	0.72	1.5	1.82	4.16	0.79	5.34	0
Gene94	0	0	0	6.3	2.54	2.96	1.87	0	2.53
Gene95	0	1.05	0.83	0.8	0.88	2.95	1.83	6.11	0.72
Gene96	9.82	15.38	15.03	13.74	16.09	15.28	14.34	15.66	20.05
Gene97	13.35	19.83	13.39	16.2	19.73	19.86	35.89	39.76	41.37
Gene98	66.47	66.33	50.75	70.26	66	75.47	57.72	45.75	72.24
Gene99	18.08	23.45	547.83	1425.47	58.72	1.35	12	3.26	0.31
Gene100	0	0	0	0	1.67	0	0	0	0
