month	day	variable	value
8	9	ozone	110
8	10	ozone	NA
8	11	ozone	NA
8	12	ozone	44
8	13	ozone	28
8	14	ozone	65
8	15	ozone	NA
8	16	ozone	22
8	17	ozone	59
8	18	ozone	23
8	19	ozone	31
8	20	ozone	44
8	21	ozone	21
8	22	ozone	9
8	23	ozone	NA
8	24	ozone	45
8	25	ozone	168
8	26	ozone	73
8	27	ozone	NA
8	28	ozone	76
8	29	ozone	118
8	30	ozone	84
8	31	ozone	85
9	1	ozone	96
9	2	ozone	78
9	3	ozone	73
9	4	ozone	91
9	5	ozone	47
9	6	ozone	32
9	7	ozone	20
9	8	ozone	23
9	9	ozone	21
9	10	ozone	24
9	11	ozone	44
9	12	ozone	21
9	13	ozone	28
9	14	ozone	9
9	15	ozone	13
9	16	ozone	46
9	17	ozone	18
9	18	ozone	13
9	19	ozone	24
9	20	ozone	16
9	21	ozone	13
9	22	ozone	23
9	23	ozone	36
9	24	ozone	7
9	25	ozone	14
9	26	ozone	30
9	27	ozone	NA
9	28	ozone	14
9	29	ozone	18
9	30	ozone	20
5	1	solar.r	190
5	2	solar.r	118
5	3	solar.r	149
5	4	solar.r	313
5	5	solar.r	NA
5	6	solar.r	NA
5	7	solar.r	299
5	8	solar.r	99
5	9	solar.r	19
5	10	solar.r	194
5	11	solar.r	NA
5	12	solar.r	256
5	13	solar.r	290
5	14	solar.r	274
5	15	solar.r	65
5	16	solar.r	334
5	17	solar.r	307
5	18	solar.r	78
5	19	solar.r	322
5	20	solar.r	44
5	21	solar.r	8
5	22	solar.r	320
5	23	solar.r	25
5	24	solar.r	92
5	25	solar.r	66
5	26	solar.r	266
5	27	solar.r	NA
5	28	solar.r	13
5	29	solar.r	252
5	30	solar.r	223
5	31	solar.r	279
6	1	solar.r	286
6	2	solar.r	287
6	3	solar.r	242
6	4	solar.r	186
6	5	solar.r	220
6	6	solar.r	264
6	7	solar.r	127
6	8	solar.r	273
6	9	solar.r	291
6	10	solar.r	323
6	11	solar.r	259
6	12	solar.r	250
6	13	solar.r	148
6	14	solar.r	332
6	15	solar.r	322
6	16	solar.r	191
6	17	solar.r	284
6	18	solar.r	37
6	19	solar.r	120
6	20	solar.r	137
6	21	solar.r	150
6	22	solar.r	59
6	23	solar.r	91
6	24	solar.r	250
6	25	solar.r	135
6	26	solar.r	127
6	27	solar.r	47
6	28	solar.r	98
6	29	solar.r	31
6	30	solar.r	138
7	1	solar.r	269
7	2	solar.r	248
7	3	solar.r	236
7	4	solar.r	101
7	5	solar.r	175
7	6	solar.r	314
7	7	solar.r	276
7	8	solar.r	267
7	9	solar.r	272
7	10	solar.r	175
7	11	solar.r	139
7	12	solar.r	264
7	13	solar.r	175
7	14	solar.r	291
7	15	solar.r	48
7	16	solar.r	260
7	17	solar.r	274
7	18	solar.r	285
7	19	solar.r	187
7	20	solar.r	220
7	21	solar.r	7
7	22	solar.r	258
7	23	solar.r	295
7	24	solar.r	294
7	25	solar.r	223
7	26	solar.r	81
7	27	solar.r	82
7	28	solar.r	213
7	29	solar.r	275
7	30	solar.r	253
7	31	solar.r	254
8	1	solar.r	83
8	2	solar.r	24
8	3	solar.r	77
8	4	solar.r	NA
8	5	solar.r	NA
8	6	solar.r	NA
8	7	solar.r	255
8	8	solar.r	229
8	9	solar.r	207
8	10	solar.r	222
8	11	solar.r	137
8	12	solar.r	192
8	13	solar.r	273
8	14	solar.r	157
8	15	solar.r	64
8	16	solar.r	71
8	17	solar.r	51
8	18	solar.r	115
8	19	solar.r	244
8	20	solar.r	190
8	21	solar.r	259
8	22	solar.r	36
8	23	solar.r	255
8	24	solar.r	212
8	25	solar.r	238
8	26	solar.r	215
8	27	solar.r	153
8	28	solar.r	203
8	29	solar.r	225
8	30	solar.r	237
8	31	solar.r	188
9	1	solar.r	167
9	2	solar.r	197
9	3	solar.r	183
9	4	solar.r	189
9	5	solar.r	95
9	6	solar.r	92
9	7	solar.r	252
9	8	solar.r	220
9	9	solar.r	230
9	10	solar.r	259
9	11	solar.r	236
9	12	solar.r	259
9	13	solar.r	238
9	14	solar.r	24
9	15	solar.r	112
9	16	solar.r	237
9	17	solar.r	224
9	18	solar.r	27
9	19	solar.r	238
9	20	solar.r	201
9	21	solar.r	238
9	22	solar.r	14
9	23	solar.r	139
9	24	solar.r	49
9	25	solar.r	20
9	26	solar.r	193
9	27	solar.r	145
9	28	solar.r	191
9	29	solar.r	131
9	30	solar.r	223
5	1	wind	7.4
5	2	wind	8
5	3	wind	12.6
5	4	wind	11.5
5	5	wind	14.3
5	6	wind	14.9
5	7	wind	8.6
5	8	wind	13.8
5	9	wind	20.1
5	10	wind	8.6
5	11	wind	6.9
5	12	wind	9.7
5	13	wind	9.2
5	14	wind	10.9
5	15	wind	13.2
5	16	wind	11.5
5	17	wind	12
5	18	wind	18.4
5	19	wind	11.5
5	20	wind	9.7
5	21	wind	9.7
5	22	wind	16.6
5	23	wind	9.7
5	24	wind	12
5	25	wind	16.6
5	26	wind	14.9
5	27	wind	8
5	28	wind	12
5	29	wind	14.9
5	30	wind	5.7
5	31	wind	7.4
6	1	wind	8.6
6	2	wind	9.7
6	3	wind	16.1
6	4	wind	9.2
6	5	wind	8.6
6	6	wind	14.3
6	7	wind	9.7
6	8	wind	6.9
6	9	wind	13.8
6	10	wind	11.5
6	11	wind	10.9
6	12	wind	9.2
6	13	wind	8
6	14	wind	13.8
6	15	wind	11.5
6	16	wind	14.9
6	17	wind	20.7
6	18	wind	9.2
6	19	wind	11.5
6	20	wind	10.3
6	21	wind	6.3
6	22	wind	1.7
6	23	wind	4.6
6	24	wind	6.3
6	25	wind	8
6	26	wind	8
6	27	wind	10.3
6	28	wind	11.5
6	29	wind	14.9
6	30	wind	8
7	1	wind	4.1
7	2	wind	9.2
7	3	wind	9.2
7	4	wind	10.9
7	5	wind	4.6
7	6	wind	10.9
7	7	wind	5.1
7	8	wind	6.3
7	9	wind	5.7
7	10	wind	7.4
7	11	wind	8.6
7	12	wind	14.3
7	13	wind	14.9
7	14	wind	14.9
7	15	wind	14.3
7	16	wind	6.9
7	17	wind	10.3
7	18	wind	6.3
7	19	wind	5.1
7	20	wind	11.5
7	21	wind	6.9
7	22	wind	9.7
7	23	wind	11.5
7	24	wind	8.6
7	25	wind	8
7	26	wind	8.6
7	27	wind	12
7	28	wind	7.4
7	29	wind	7.4
7	30	wind	7.4
7	31	wind	9.2
8	1	wind	6.9
8	2	wind	13.8
8	3	wind	7.4
8	4	wind	6.9
8	5	wind	7.4
8	6	wind	4.6
8	7	wind	4
8	8	wind	10.3
8	9	wind	8
8	10	wind	8.6
8	11	wind	11.5
8	12	wind	11.5
8	13	wind	11.5
8	14	wind	9.7
8	15	wind	11.5
8	16	wind	10.3
8	17	wind	6.3
8	18	wind	7.4
8	19	wind	10.9
8	20	wind	10.3
8	21	wind	15.5
8	22	wind	14.3
8	23	wind	12.6
8	24	wind	9.7
8	25	wind	3.4
8	26	wind	8
8	27	wind	5.7
8	28	wind	9.7
8	29	wind	2.3
8	30	wind	6.3
8	31	wind	6.3
9	1	wind	6.9
9	2	wind	5.1
9	3	wind	2.8
9	4	wind	4.6
9	5	wind	7.4
9	6	wind	15.5
9	7	wind	10.9
9	8	wind	10.3
9	9	wind	10.9
9	10	wind	9.7
9	11	wind	14.9
9	12	wind	15.5
9	13	wind	6.3
9	14	wind	10.9
9	15	wind	11.5
9	16	wind	6.9
9	17	wind	13.8
9	18	wind	10.3
9	19	wind	10.3
9	20	wind	8
9	21	wind	12.6
9	22	wind	9.2
9	23	wind	10.3
9	24	wind	10.3
9	25	wind	16.6
9	26	wind	6.9
9	27	wind	13.2
9	28	wind	14.3
9	29	wind	8
9	30	wind	11.5
5	1	temp	67
5	2	temp	72
5	3	temp	74
5	4	temp	62
5	5	temp	56
5	6	temp	66
5	7	temp	65
5	8	temp	59
5	9	temp	61
5	10	temp	69
5	11	temp	74
5	12	temp	69
5	13	temp	66
5	14	temp	68
5	15	temp	58
5	16	temp	64
5	17	temp	66
5	18	temp	57
5	19	temp	68
5	20	temp	62
5	21	temp	59
5	22	temp	73
5	23	temp	61
5	24	temp	61
5	25	temp	57
5	26	temp	58
5	27	temp	57
5	28	temp	67
5	29	temp	81
5	30	temp	79
5	31	temp	76
6	1	temp	78
6	2	temp	74
6	3	temp	67
6	4	temp	84
6	5	temp	85
6	6	temp	79
6	7	temp	82
6	8	temp	87
6	9	temp	90
6	10	temp	87
6	11	temp	93
6	12	temp	92
6	13	temp	82
6	14	temp	80
6	15	temp	79
6	16	temp	77
6	17	temp	72
6	18	temp	65
6	19	temp	73
6	20	temp	76
6	21	temp	77
6	22	temp	76
6	23	temp	76
6	24	temp	76
6	25	temp	75
6	26	temp	78
6	27	temp	73
6	28	temp	80
6	29	temp	77
6	30	temp	83
7	1	temp	84
7	2	temp	85
7	3	temp	81
7	4	temp	84
7	5	temp	83
7	6	temp	83
7	7	temp	88
7	8	temp	92
7	9	temp	92
7	10	temp	89
7	11	temp	82
7	12	temp	73
7	13	temp	81
7	14	temp	91
7	15	temp	80
7	16	temp	81
7	17	temp	82
7	18	temp	84
7	19	temp	87
7	20	temp	85
7	21	temp	74
7	22	temp	81
7	23	temp	82
7	24	temp	86
7	25	temp	85
7	26	temp	82
7	27	temp	86
7	28	temp	88
7	29	temp	86
7	30	temp	83
7	31	temp	81
8	1	temp	81
8	2	temp	81
8	3	temp	82
8	4	temp	86
8	5	temp	85
8	6	temp	87
8	7	temp	89
8	8	temp	90
8	9	temp	90
8	10	temp	92
8	11	temp	86
8	12	temp	86
8	13	temp	82
8	14	temp	80
8	15	temp	79
8	16	temp	77
8	17	temp	79
8	18	temp	76
8	19	temp	78
8	20	temp	78
8	21	temp	77
8	22	temp	72
8	23	temp	75
8	24	temp	79
8	25	temp	81
8	26	temp	86
8	27	temp	88
8	28	temp	97
8	29	temp	94
8	30	temp	96
8	31	temp	94
9	1	temp	91
9	2	temp	92
9	3	temp	93
9	4	temp	93
9	5	temp	87
9	6	temp	84
9	7	temp	80
9	8	temp	78
9	9	temp	75
9	10	temp	73
9	11	temp	81
9	12	temp	76
9	13	temp	77
9	14	temp	71
9	15	temp	71
9	16	temp	78
9	17	temp	67
9	18	temp	76
9	19	temp	68
9	20	temp	82
9	21	temp	64
9	22	temp	71
9	23	temp	81
9	24	temp	69
9	25	temp	63
9	26	temp	70
9	27	temp	77
9	28	temp	75
9	29	temp	76
9	30	temp	68
