stu	Algebra	Analysis	Proba	Informatic	Economy	Option1	Option2	English	Sport	result
stu91	39	18	14	30	65.4	14	26	14	11	D
stu92	33	24	27	26	63	18	16	29.2	11	B-
stu93	39	33	18	26.5	60	24	25	19	12	C-
stu94	40	30	29	25	64.5	20	21	15.8	0	C-
stu95	27	26	2	15	64.5	8	28	21	15	D
stu96	62	47	62	34.5	71.4	23	26	26	12	A
stu97	51	35.5	39	40	63.9	24	22	24	12	B
stu98	45	34	19	30	74.4	32	27	24.6	13	B
stu99	57	30.5	24	20	68.4	30	24	22.6	11.5	B
stu100	60	41	18	30	66	20	24	17.2	0	B
stu101	48	44	22	30	66.9	22	28	19.6	0	B
stu102	44	45	42	35	63.9	27	22	18.4	15	B
stu103	47	32	26	21	84	23	28	19	11.5	B
stu104	44	32	42	26.5	72	28	27.5	23	11.5	B
