Name	Trait1	Trait2	Trait3	Pathway
gene124	6.3	4.9	2.7	Autophagy pathway
gene125	6.7	5.7	3.3	Autophagy pathway
gene126	7.2	6	3.2	Autophagy pathway
gene127	6.2	4.8	2.8	Autophagy pathway
gene128	6.1	4.9	3	Autophagy pathway
gene129	6.4	5.6	2.8	Autophagy pathway
gene130	7.2	5.8	3	Autophagy pathway
gene131	7.4	6.1	2.8	Autophagy pathway
gene132	7.9	6.4	3.8	Autophagy pathway
gene133	6.4	5.6	2.8	Autophagy pathway
gene134	6.3	5.1	2.8	Autophagy pathway
gene135	6.1	5.6	2.6	Autophagy pathway
gene136	7.7	6.1	3	Autophagy pathway
gene137	6.3	5.6	3.4	Autophagy pathway
gene138	6.4	5.5	3.1	Autophagy pathway
gene139	6	4.8	3	Autophagy pathway
gene140	6.9	5.4	3.1	Autophagy pathway
gene141	6.7	5.6	3.1	Autophagy pathway
gene142	6.9	5.1	3.1	Autophagy pathway
gene143	5.8	5.1	2.7	Autophagy pathway
gene144	6.8	5.9	3.2	Autophagy pathway
gene145	6.7	5.7	3.3	Autophagy pathway
gene146	6.7	5.2	3	Autophagy pathway
gene147	6.3	5	2.5	Autophagy pathway
gene148	6.5	5.2	3	Autophagy pathway
gene149	6.2	5.4	3.4	Autophagy pathway
gene150	5.9	5.1	3	Autophagy pathway
gene151	5.7	4.1	2.8	MAPK pathway
gene152	6.3	6	3.3	MAPK pathway
gene153	5.8	5.1	2.7	MAPK pathway
gene154	7.1	5.9	3	MAPK pathway
gene155	6.3	5.6	2.9	MAPK pathway
gene156	6.5	5.8	3	MAPK pathway
gene157	7.6	6.6	3	MAPK pathway
gene158	4.9	4.5	2.5	MAPK pathway
gene159	7.3	6.3	2.9	MAPK pathway
gene160	6.7	5.8	2.5	MAPK pathway
gene161	7.2	6.1	3.6	MAPK pathway
gene162	6.5	5.1	3.2	MAPK pathway
gene163	6.4	5.3	2.7	MAPK pathway
gene164	6.8	5.5	3	MAPK pathway
gene165	5.7	5	2.5	MAPK pathway
gene166	5.8	5.1	2.8	MAPK pathway
gene167	6.4	5.3	3.2	MAPK pathway
gene168	6.5	5.5	3	MAPK pathway
gene169	7.7	6.7	3.8	MAPK pathway
gene170	7.7	6.9	2.6	MAPK pathway
gene171	6	5	2.2	MAPK pathway
gene172	6.9	5.7	3.2	MAPK pathway
gene173	5.6	4.9	2.8	MAPK pathway
gene174	7.7	6.7	2.8	MAPK pathway
gene175	6.3	4.9	2.7	MAPK pathway
gene176	6.7	5.7	3.3	MAPK pathway
gene177	7.2	6	3.2	MAPK pathway
gene178	6.2	4.8	2.8	MAPK pathway
gene179	6.1	4.9	3	MAPK pathway
gene180	6.4	5.6	2.8	MAPK pathway
gene181	7.2	5.8	3	MAPK pathway
gene182	7.4	6.1	2.8	MAPK pathway
gene183	7.9	6.4	3.8	MAPK pathway
gene184	6.4	5.6	2.8	MAPK pathway
gene185	6.3	5.1	2.8	MAPK pathway
gene186	6.1	5.6	2.6	MAPK pathway
gene187	7.7	6.1	3	MAPK pathway
gene188	6.3	5.6	3.4	MAPK pathway
gene189	6.4	5.5	3.1	MAPK pathway
gene190	6	4.8	3	MAPK pathway
gene191	6.9	5.4	3.1	MAPK pathway
gene192	6.7	5.6	3.1	MAPK pathway
gene193	6.9	5.1	3.1	MAPK pathway
gene194	5.8	5.1	2.7	MAPK pathway
gene195	6.8	5.9	3.2	MAPK pathway
gene196	6.7	5.7	3.3	MAPK pathway
gene197	6.7	5.2	3	MAPK pathway
gene198	6.3	5	2.5	MAPK pathway
gene199	6.5	5.2	3	MAPK pathway
gene200	6.2	5.4	3.4	MAPK pathway
