chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A
16	1331524.5	BAIAP3	-2.756	-0.067	-0.814	-1.38	-2.649	-1.385
12	51630936.5	KRT18	-1.76	-2.341	-0.63	-2.5	-1.114	-1.196
20	9277749	PLCB4	1.837	1.266	1.117	-0.518	1.961	1.823
21	34859634	RCAN1	-0.345	2.313	1.489	-0.135	-1.062	-0.705
20	46776013	PREX1	-2.22	-3.991	-0.69	-2.272	-0.603	-0.457
9	93218556	NFIL3	1.573	0.547	-0.073	1.03	1.164	0.257
2	228388662.5	CCL20	0.782	0.13	2.427	2.723	-1.437	0.31
6	152259712	ESR1	-8.045	-7.67	-4.647	-7.81	-5.903	-3.072
11	86194529.5	PRSS23	-1.789	-2.664	0.57	-2.064	-1.082	-0.844
8	100967408	COX6C	-0.968	-1.514	-1.504	-1.527	-0.813	0.514
16	67263054.5	CDH3	0.113	-0.301	2.842	3.015	-2.389	-0.764
3	50355850	ZMYND10	-0.769	-0.406	-0.658	-3.217	-2.735	-1.053
4	119457005	PRSS12	2.85	-0.622	-0.565	2.285	-0.621	-0.01
12	53326528.5	DCD	0.646	-0.609	0.483	-0.86	2.922	8.876
16	714528	CCDC78	-2.615	-0.725	-0.986	-0.989	-0.753	-0.247
2	136286552	LCT	2.583	4.386	0.418	-0.691	0.451	-0.346
17	35079242.5	PNMT	-0.669	-0.881	2.991	-0.509	2.833	2.849
22	27523553.5	XBP1	-3.682	-2.955	-0.512	-4.044	-0.07	-0.348
1	198821866	KIF14	1.24	1.775	0.244	1.845	-0.664	1.66
3	194527366	ATP13A5	0.916	-0.207	2.428	0.57	2.268	0.56
3	4687277.5	ITPR1	-3.293	-2.787	-0.444	-2.009	0.587	1.283
6	142736922	GPR126	-1.311	0.491	2.831	1.958	0.679	2.039
19	5777076	NRTN	3.227	4.258	0.014	2.279	0.136	2.075
11	47665611	AGBL2	-1.298	-1.702	-2.572	-2.576	-0.516	-1.12
5	10506555.5	ROPN1L	-0.167	-0.672	1.64	-0.123	0.052	-0.819
9	115897448	KIF12	-1.369	-0.418	-1.573	-2.656	-2.309	-0.017
2	86356459	REEP1	0.964	-1.765	2.574	-3.38	1.698	0.43
1	203637483	LEMD1	4.553	-0.28	-0.878	3.366	-1.172	-0.402
7	142286346.5	TRPV6	0.1	0.061	2.569	1.11	3.676	0.375
11	102170013	MMP1	-1.595	-0.978	-0.535	2.316	-0.138	-0.204
4	74826691.5	IL8	3.155	0.734	5.765	3.732	3.772	0.61
9	90360179.5	NXNL2	0.117	-1.092	-0.981	-0.844	-0.615	-2.401
15	97167782.5	IGF1R	0.414	-3.923	-1.519	-0.093	-3.249	-3.218
4	143577842.5	INPP4B	-4.55	-3.97	-1.895	-3.079	-1.94	-2.735
22	37686303	APOBEC3A	-1.119	-0.537	0.482	1.241	0.002	2.034
3	159919051	RARRES1	-0.821	0.317	-0.215	3.692	1.296	0.803
13	96440289	OXGR1	3.931	5.595	-1.053	3.023	-1.294	-0.194
11	17413016	ABCC8	0.756	-3.732	-2.03	-3.872	3.128	-3.019
17	37031812.5	KRT17	-1.695	-2.11	-1.751	1.351	-1.584	-2.236
3	144055063	PCOLCE2	0.171	-0.157	-1.855	3.026	-0.693	-1.154
6	137521563.5	IL22RA2	-0.307	0.524	-0.199	7.537	-0.533	1.413
2	166335803.5	GALNT3	-2.002	2.083	2.146	0.842	0.097	-0.502
5	94782351.5	FAM81B	-1.427	-0.887	-0.855	-1.411	-0.765	-0.388
1	41719981.5	EDN2	0.663	-2.055	1.223	0.991	1.243	-2.111
9	79340433	GNA14	-0.711	-2.429	3.62	-1.04	0.236	-0.573
21	30509267	CLDN8	-3.197	1.474	1.34	-0.317	-0.659	-0.103
4	40959428.5	UCHL1	2.7	0.416	1.426	2.916	-0.272	0.654
20	23495377.5	CST9L	-0.899	-1.245	-1.049	-0.645	-1.285	-0.796
9	94793880	FGD3	-1.893	-2.246	-2.472	-1.778	-1.635	-0.691
21	42046457.5	RIPK4	1.582	0.724	2.043	1.612	1.306	0.313
6	43038036.5	GNMT	0.254	0.147	0.022	-1.731	-1.155	-0.127
4	178494535	NEIL3	0.211	1.276	-0.936	2.156	0.778	0.935
1	19484755	AKR7A3	-1.418	-1.083	-1.56	-1.171	1.79	-1.542
8	133705213.5	LRRC6	-0.764	-0.621	0.385	-3.075	-2.726	0.048
20	20135251.5	C20orf26	-0.062	-0.799	-1.291	-1.898	-0.571	0.183
4	77175118.5	CXCL11	-2.046	-0.465	-1.315	1.173	-0.15	3.503
9	33234380	SPINK4	-1.555	-1.65	-0.619	-1.589	3.465	-0.873
17	739525	NXN	1.997	0.602	1.373	1.334	1.329	1.314
4	55260244.5	KIT	4.615	1.957	0.254	3.121	1.901	1.302
5	131682920.5	SLC22A4	-2.117	-2.614	-0.384	-0.691	-2.094	-1.779
3	27309008	NEK10	-1.867	-1.626	-0.059	-2.431	-2.503	-2.353
6	151791299	RMND1	0.421	-0.715	-1.125	-0.078	-0.527	-0.856
12	21690768	LDHB	3.786	3.455	0.373	2.437	-1.357	1.031
2	99827808	AFF3	-1.238	-1.881	-1.376	-1.297	1.755	1.066
1	245206744.5	ZNF695	1.11	2.33	1.798	2.819	1.592	0.977
7	142543125.5	PIP	-5.982	-4.376	0.208	-5.289	-0.208	0.97
10	95262598.5	CEP55	1.026	1.887	-0.133	1.527	1.106	0.935
17	17838882.5	LRRC48	-0.252	-1.023	-0.583	-2.366	-2.182	-0.938
6	151824019.5	C6orf211	-1.522	-2.106	-0.933	-1.556	-1.473	-1.112
12	51129439	KRT6B	-0.22	0.815	-3.395	1.878	-3.045	-4.811
7	72487215	FZD9	0.959	4.581	1.025	3.017	-0.577	-0.512
6	1557403.5	FOXC1	-0.695	2.195	0.572	0.997	-1.371	-0.832
10	74736072	TTC18	-1.184	-1.974	-0.813	-3.892	0.827	0.549
17	54056725.5	TEX14	-0.744	0.814	-1.05	-0.756	-0.832	-0.574
7	138803812	KLRG2	0.858	1.324	-0.148	0.826	3.707	1.031
14	24171636.5	GZMB	-1.567	0.136	-0.401	1.369	0.198	1.888
16	29732806	PRRT2	0.136	-2.345	-2.297	-1.662	-0.652	-0.739
14	26060864	NOVA1	0.732	1.06	-0.557	-0.915	-0.873	1.294
12	50921098	KRT7	-0.219	-0.383	0.755	0.219	1.032	0.434
3	149920913.5	AGTR1	-2.538	-2.491	0.16	-2.393	2.922	-0.966
1	231845626.5	KCNK1	-2.196	-1.094	1.736	0.356	0.197	1.312
4	56176688	NMU	5.931	4.577	-0.004	3.659	2.882	2.354
21	38559661	KCNJ15	-2.094	-0.736	0.899	-0.456	-0.552	0.17
19	15445885.5	PGLYRP2	-2.74	-2.185	-1.264	-1.507	-1.919	-2.154
13	71124714.5	DACH1	-2.552	-4.562	-3.895	-5.363	2.339	-0.485
16	79137198	DYNLRB2	-3.153	-1.425	-0.201	-5.562	-0.256	-0.82
19	46876505	CEACAM7	-1.163	1.467	1.952	-2.056	1.146	0.566
3	136229392.5	EPHB1	1.534	3.242	0.302	3.987	0.216	0.715
1	199141029	C1orf106	1.321	2.103	1.936	3.726	-0.171	0.061
15	25845834	OCA2	1.541	4.963	-0.334	2.66	-0.324	0.312
8	67580678.5	C8orf46	0.273	0.076	-1.13	1.359	-1.439	-0.654
23	13784384.5	GPM6B	1.182	3.521	-0.866	1.048	-0.377	0.33
6	19947994.5	ID4	0.559	2.209	1.494	2.818	-1.982	-2.808
3	130184073.5	KIAA1257	-1.87	0.663	-0.897	-2.181	-2.113	-1.342
23	13529614.5	EGFL6	-0.011	-1.109	0.327	1.364	2.122	2.686
11	72162909.5	STARD10	-2.423	-1.813	0.116	-1.447	-0.413	1.129
7	96475756.5	DLX6	1.899	-0.881	-0.076	4.191	-0.54	0.279
1	37800075.5	DNALI1	-5.734	0.913	-3.381	-4.801	-2.932	0.112
20	61595460	EEF1A2	1.606	-2.831	-0.095	0.634	-0.48	-0.975
17	38210755	CNTD1	-0.876	-0.403	-0.97	-2.845	-0.182	-0.326
1	199625940	LAD1	0.084	0.602	0.978	0.732	1.182	0.766
19	56193922.5	KLK8	0.259	-2.353	5.909	5.204	-3.034	-3.082
4	141829153	TBC1D9	-5.13	-5.925	-2.989	-4.449	0.506	-1.57
10	118416333.5	C10orf82	-3.821	-2.332	0.142	-2.501	-2.881	3.224
14	69492351	SMOC1	3.018	-0.458	0.381	3.338	-0.661	0.225
1	89297102.5	GBP1	-2.423	-0.308	-0.383	2.933	-1.203	1.349
19	45974179.5	MIA	-0.619	4.029	-2.226	4.048	-2.29	-1.774
1	144457292.5	PDZK1	-2.368	-3.231	-2.735	-2.722	-2.658	-2.746
2	85302557.5	TCF7L1	-2.556	1.846	0.591	2.061	-0.66	0.145
7	128628284.5	SMO	0.917	1.85	1.387	2.038	1.797	0.76
19	1350689	GAMT	-0.98	-0.417	-2.224	-2.197	-2.929	-2.212
11	67109170.5	GSTP1	2.061	1.909	2.64	1.293	-1.727	-0.228
18	21041048.5	ZNF521	-1.454	4.074	0.611	0.566	-1.371	-0.689
22	29223297.5	SEC14L4	4.233	-1.01	0.177	2.958	-0.249	-0.348
5	34066423.5	C1QTNF3	-1.392	-2.948	2.092	-2.06	0.452	-0.648
1	151802569	S100A2	-0.265	-2.222	0.922	3.533	-1.344	-1.716
5	55296629.5	IL6ST	-3.617	-3.126	-1.566	-4.022	-3.359	-0.872
9	113717140	UGCG	-2.263	-2.36	-1.629	-3.119	-1.876	-0.14
6	34622822	SPDEF	-2.171	0.558	-0.154	-4.689	0.713	0.061
1	47047432	CYP4B1	-4.473	-5.29	-1.456	-3.004	2.636	-0.061
13	19662358.5	GJB2	-0.644	-2.497	2.3	0.796	-0.344	-0.93
10	129799685.5	MKI67	2.056	1.93	-0.102	1.503	0.899	1.997
18	69928773	FBXO15	-0.146	-0.512	0.513	-3.598	0.003	-0.043
9	130734261.5	PHYHD1	-0.002	-2.639	-1.891	-2.575	-2.245	-2.185
13	34779648	NBEA	1.396	0.308	-0.515	-2.718	-1.397	-0.254
15	76659791	CHRNA5	4.308	3.55	1.178	2.801	0.19	0.189
6	126219434	NCOA7	0.154	1.16	3.848	2.235	-1.114	-0.345
12	101877002.5	ASCL1	1.334	-0.598	0.053	0.165	0.381	3.687
10	8146921	GATA3	-7.845	-6.699	-3.101	-4.022	-0.005	0.015
18	46426337.5	MAPK4	4.652	1.308	0.047	2.045	-0.537	-0.566
3	106673346.5	ALCAM	-1.935	-2.142	0.49	-3.231	-3.018	-0.216
18	46027212	CCDC11	-0.194	-2.212	-0.74	-2.837	1.718	-0.074
3	50284809.5	SEMA3B	-2.117	-1.131	0.788	-0.583	-0.157	-1.047
7	95402712.5	DYNC1I1	4.236	-1.24	0.105	1.592	-1.061	-0.458
9	137529214	C9orf116	-2.379	-0.791	-0.502	-1.002	-2.868	-0.229
5	150896271.5	FAT2	-0.391	-0.544	-0.687	1.603	-1.562	-2.083
4	39898798.5	RHOH	-2.164	-2.757	-0.162	-1.847	3.487	0.751
21	42606810	TFF3	1.09	-4.309	0.51	-5.355	0.465	0.515
15	83001084.5	NMB	1.012	3.062	-0.849	1.818	0.951	0.227
19	50112103	APOC1	-1.914	-1.068	0.56	-1.415	-0.225	1.303
5	159593660.5	FABP6	-0.774	4.498	1.52	0.631	2.143	0.226
10	75344065.5	PLAU	0.133	-1.701	0.6	-0.325	-0.703	-1.44
19	16118107	HSH2D	-3.832	-2.78	-1.594	-0.991	-2.296	0.728
2	26866672	CENPA	1.991	2.721	0.342	2.974	1.029	1.255
17	41394543.5	MAPT	-0.969	-1.79	-2.218	-2.292	0.105	-1.585
3	125181728.5	ROPN1	2.562	5.524	0.329	4.742	-2.439	-1.75
1	161575261.5	NUF2	1.927	1.506	-0.221	1.928	0.14	0.086
1	46418778	TSPAN1	-3.219	-4.12	1.436	-2.548	-0.818	0.869
19	59629063.5	TTYH1	2.88	4.431	0.968	3.606	-0.794	-0.659
11	117634900.5	MPZL2	0.146	0.631	1.503	0.615	1.087	-1.806
1	194935443.5	CFH	-1.767	-1.748	-0.215	-2.5	-1.262	-0.028
3	32439751.5	CMTM7	-0.013	2.877	-1.336	2.115	-0.969	0.174
12	75786778	CSRP2	2.657	3.065	0.923	0.518	-1.44	-1.115
23	99774450	TSPAN6	1.102	0.609	0.715	-0.574	0.669	-0.173
10	124783107	ACADSB	-0.381	-0.924	-1.982	-2.3	-1.235	-1.64
3	53662823.5	CACNA1D	0.343	-1.502	0.44	-0.77	-1.251	-1.493
5	172681721.5	STC2	-1.503	-3.366	-1.416	-1.589	-1.596	-2.593
6	31946875	SLC44A4	-1.749	-4.986	0.447	-5.377	-4.622	-2.244
5	148560719	ABLIM3	-2.858	-2.482	0.053	-1.873	-2.78	-1.678
19	56159219.5	KLK6	1.793	-1.267	3.247	5.352	-1.748	-1.894
1	53523519	LRP8	1.156	0.368	1.223	2.585	0.009	2.285
15	87828223	RHCG	0.206	2.478	-0.208	1.702	0.205	0.229
2	119319222.5	EN1	4.281	3.828	0.043	4.921	4.915	-1.752
19	56143263	KLK5	0.36	-1.765	3.438	2.885	-2.047	-1.847
6	80790001.5	TTK	2.535	2.602	0.68	2.74	0.998	1.256
2	17643237	VSNL1	2.82	-1.117	1.901	1.798	-0.581	4.643
9	98836596	CTSL2	1.419	1.402	2.531	1.842	0.244	-0.35
10	13268334.5	MCM10	1.526	3.112	-0.134	2.473	0.982	0.973
1	199543973	PKP1	1.042	-0.392	1.873	-0.105	1.623	0.774
3	40051560.5	MYRIP	-0.075	-1.821	-0.665	-4.263	-0.902	-0.316
7	116727250	WNT2	-0.948	-1.802	0.92	-2.694	0.349	-0.285
3	195564515.5	LRRC15	-1.588	-1.584	0.903	-1.511	-0.933	-0.937
2	60582971	BCL11A	3.792	3.802	-0.842	3.449	-2.159	1.858
7	93880144	COL1A2	-2.137	-2.526	0.633	-2.186	-0.131	-0.649
16	706327	METRN	-5.081	-1.672	1.194	-0.742	-1.431	-0.67
11	68211888.5	GAL	2.455	1.42	0.63	4.064	0.213	1.443
12	101795872	PAH	-0.462	-0.399	-0.681	-0.307	-0.454	-0.346
10	117914608.5	GFRA1	-4.471	-0.154	-2.108	-4.733	-5.106	-3.51
12	90025517.5	LUM	-2.399	-2.289	0.463	-3.277	-0.968	-0.494
3	171055069.5	LRRC31	-1.046	-0.816	3.863	-1.203	-1.014	-1.43
14	22679425	SLC7A8	-2.288	-2.912	-0.824	-1.846	0.744	0.519
4	15632892.5	PROM1	1.095	0.057	4.48	4.157	-4.011	2.546
22	16438414.5	SLC25A18	-0.42	-0.69	3.176	0.076	2.137	-0.49
23	110212498.5	PAK3	3.732	-0.054	-0.539	0.223	-0.947	1.238
7	86425822	KIAA1324L	0.392	0.525	-1.88	-4.361	-2.807	-1.446
6	123144630.5	FABP7	0.352	2.646	-1.129	7.392	7.584	-0.789
1	205265606	C1orf116	-2.464	-1.017	1.607	-0.664	0.582	-0.516
2	19418289.5	OSR1	-1.617	1.848	0.194	2.41	-1.669	-0.876
6	14060647.5	RNF182	7.077	1.594	2.011	-0.584	1.268	-0.555
14	94154304.5	SERPINA3	-3.789	-3.743	-2.765	0.211	-4.545	-3.466
8	6719223.5	DEFB1	2.224	0.367	2.035	1.619	3.989	2.087
23	17758478.5	RAI2	-2.29	-2.758	0.115	-2.99	-1.511	-0.893
6	112489821.5	WISP3	1.736	-0.783	-0.874	-0.768	1.486	1.478
1	151629709.5	S100A8	-0.267	-0.321	3.173	3.854	0.966	0.408
17	63786880.5	SLC16A6	-1.55	-1.702	0.953	-2.72	-1.386	-0.26
11	58363344	GLYATL2	1.892	3.205	5.853	0.804	4.149	-2.195
12	8580996	CLEC4E	-0.787	-0.282	-1.106	1.251	-0.788	1.883
19	47515185	TMEM145	2.106	-0.481	-0.864	-0.998	-0.245	-0.929
4	110912040	CFI	-1.359	-1.367	0.723	1.297	-0.778	-0.648
15	87230648	HAPLN3	0.741	1.443	-0.922	2.23	-1.028	0.978
14	94123334	SERPINA5	-3.724	-3.327	-0.154	-0.151	-2.927	-1.744
1	57007510.5	C1orf168	-1.11	-1.977	2.156	-0.568	-1.74	-2.43
3	184463799	B3GNT5	2.216	4.518	3.198	3.219	-0.823	0.425
11	110741778	POU2AF1	0.153	0.048	-0.269	-1.821	-0.437	4.184
1	117521418	VTCN1	-2.503	-1.368	0.745	0.602	-4.834	-1.025
18	26850414	DSC3	2.023	-0.931	-0.728	2.732	-0.95	-1.012
17	65613150.5	KCNJ16	0.945	2.663	-0.254	2.52	-0.599	-0.93
3	12763099.5	TMEM40	0	1.934	2.766	-1.36	1.868	0.144
3	184343028.5	LAMP3	-0.994	1.749	-1.506	2.664	-0.614	3.151
17	42223082.5	WNT3	-1.458	0.034	-0.896	0.559	-0.221	-0.22
11	102215644.5	MMP3	-4.466	-0.964	-0.685	4.134	-0.969	-0.439
3	123120792	SLC15A2	0.25	2.066	3.753	0.634	1.719	2.208
10	42917740	RET	0.391	-4.268	0.669	-2.879	-2.248	1.697
15	38952741	RHOV	-1.848	-0.547	0.606	-0.172	0.167	-1.829
2	30841478	CAPN13	-0.254	-4.473	0.591	-0.592	0.427	-0.246
17	1619808.5	SERPINF1	-2.632	-1.961	0.194	-2.292	-1.442	-0.138
1	191046410.5	RGS2	-0.037	0.06	1.407	0.558	-0.693	0.272
1	86678592	CLCA2	-1.556	-1.356	7.215	2.762	7.399	3.709
11	7647149	CYB5R2	-0.034	1.914	0.609	0.314	0.201	0.209
11	34474420	ELF5	0.161	4.453	-1.178	1.324	0.197	1.827
4	154412485.5	TRIM2	1.882	1.893	-0.159	2.706	1.137	-0.595
