Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
11	6917401	6930365	19	846312	864165	cccccc
18	13426314	13439229	4	6495905	6448272	cccccc
3	3999593	4012272	9	7150525	7184178	cccccc
7	13875574	13888183	12	7493201	7477676	cccccc
3	9261846	9274414	9	1220083	1205106	cccccc
1	8847308	8859819	2	4039818	4081274	cccccc
17	1377273	1389775	10	1581430	1562230	cccccc
17	1377273	1389775	12	3840537	3862485	cccccc
16	12469737	12482150	8	8145982	8115190	cccccc
13	6718887	6731292	16	1009752	1033745	cccccc
18	8977709	8990092	11	4157972	4177984	cccccc
12	8995570	9007942	17	7182853	7164522	cccccc
5	14421438	14433793	18	5949276	5939861	cccccc
16	12087659	12099967	8	7427221	7474833	cccccc
19	9082712	9095020	13	1712147	1685460	cccccc
5	14699317	14711611	18	5760947	5751824	cccccc
11	14327915	14340181	19	2573610	2550592	cccccc
9	10299082	10311205	3	544775	534347	cccccc
2	7561384	7573501	18	5555210	5565108	cccccc
13	6757480	6769586	16	1064294	1080868	cccccc
13	1467573	1479673	14	3331672	3368344	cccccc
18	3093294	3105390	4	3172891	3168864	cccccc
18	3093294	3105390	9	3881927	3885456	cccccc
14	10594473	10606512	7	1588392	1606535	cccccc
11	5085728	5097747	10	1581430	1562230	cccccc
11	5085728	5097747	12	3840537	3862485	cccccc
12	5766924	5778933	17	3518070	3530121	cccccc
12	7267650	7279638	17	3777808	3797974	cccccc
12	4507737	4519700	17	2341697	2322153	cccccc
18	13635268	13647137	11	7809647	7826898	cccccc
13	1360411	1372275	14	3381298	3422761	cccccc
4	15275096	15286884	10	6283984	6321024	cccccc
18	8937803	8949570	11	4261400	4266786	cccccc
16	4516431	4528175	8	3937065	3968770	cccccc
17	3677224	3688958	18	5715724	5718850	cccccc
18	13073412	13085131	11	8646991	8696762	cccccc
17	6047259	6058974	17	520726	514981	cccccc
1	8871333	8883037	2	4082730	4093062	cccccc
18	8020760	8032453	11	427858	442383	cccccc
11	10754824	10766499	19	6746210	6732346	cccccc
18	14972577	14984225	11	5128748	5123197	cccccc
2	9234040	9245660	18	8444610	8429672	cccccc
9	2814368	2825987	6	10304989	10338660	cccccc
9	2586280	2597867	6	3962133	3942046	cccccc
19	2185439	2197000	14	10541605	10528766	cccccc
19	2185439	2197000	7	6490784	6484378	cccccc
4	3761760	3773313	10	1581430	1562230	cccccc
4	3761760	3773313	12	3840537	3862485	cccccc
7	4300152	4311685	18	8444610	8429672	cccccc
13	15620140	15631661	6	8203038	8172904	cccccc
1	15447289	15458798	11	3427267	3448865	cccccc
12	8741086	8752591	17	7542594	7555873	cccccc
15	9126142	9137610	17	5999449	5989375	cccccc
9	7163043	7174502	6	7583752	7598395	cccccc
2	7686995	7698436	18	5694915	5711044	cccccc
15	12353980	12365415	17	201292	212911	cccccc
18	1838501	1849932	4	5970124	5938306	cccccc
11	14884642	14896065	19	3476010	3512868	cccccc
5	14236506	14247924	18	6292087	6286878	cccccc
13	3489451	3500868	7	7313963	7299440	cccccc
3	4017342	4028741	9	6990667	6977464	cccccc
4	5238758	5250131	10	3402601	3414969	cccccc
5	2132335	2143696	14	3381298	3422761	cccccc
5	2132335	2143696	5	3336226	3312459	cccccc
12	9740173	9751516	17	5999449	5989375	cccccc
5	15914416	15925757	18	5441875	5378723	cccccc
14	2104344	2115666	18	8444610	8429672	cccccc
18	200212	211523	4	2344376	2360860	cccccc
13	15220756	15232065	12	8889267	8872070	cccccc
13	2383599	2394892	14	6289272	6361314	cccccc
1	2477465	2488689	8	11559992	11548478	cccccc
12	11588211	11599419	17	10124363	10159290	cccccc
9	9041966	9053141	3	4121846	4096054	cccccc
3	14403310	14414482	2	3867232	3857081	cccccc
18	1478309	1489479	4	6495905	6448272	cccccc
9	7368873	7379997	6	7833154	7857865	cccccc
13	15409999	15421103	12	8070785	8074229	cccccc
4	8747686	8758760	1	3092651	3084529	cccccc
12	6433501	6444573	17	4198579	4224826	cccccc
4	5205047	5216118	12	2002443	1992758	cccccc
4	5205047	5216118	19	669185	677944	cccccc
2	6529787	6540823	18	3938638	3949317	cccccc
11	15396154	15407181	19	4917427	4909285	cccccc
4	16496433	16507441	3	4121846	4096054	cccccc
11	14123321	14134300	19	2440759	2416383	cccccc
9	11074700	11085669	18	1667243	1623782	cccccc
9	11074700	11085669	3	1980732	2017482	cccccc
5	15307984	15318935	18	5694915	5711044	cccccc
5	3539247	3550192	14	6289272	6361314	cccccc
7	606276	617200	18	6893423	6896646	cccccc
2	14959548	14970463	7	4589049	4604048	cccccc
11	8738401	8749299	10	6283984	6321024	cccccc
13	491570	502455	14	786857	770383	cccccc
1	12099585	12110455	2	6092856	6111433	cccccc
11	15092409	15103262	19	4092360	4088830	cccccc
18	9826196	9837027	11	3862410	3855357	cccccc
12	9046948	9057762	17	7139161	7150931	cccccc
2	15720304	15731101	7	3978292	3966219	cccccc
3	11344426	11355221	2	6092856	6111433	cccccc
2	5389356	5400124	18	2406066	2359940	cccccc
4	906911	917665	10	998936	978038	cccccc
12	10821846	10832550	1	7861008	7870867	cccccc
12	10821846	10832550	17	9759285	9731937	cccccc
18	6125483	6136156	4	480827	497069	cccccc
13	4239929	4250599	6	687338	675560	cccccc
9	9566386	9577049	3	5346727	5324928	cccccc
9	7209105	7219743	6	7629706	7641718	cccccc
1	5285052	5295668	17	201292	212911	cccccc
1	13227356	13237968	1	1177197	1169800	cccccc
3	5150217	5160798	9	2000266	2018726	cccccc
17	3699486	3710047	18	5694915	5711044	cccccc
1	15612766	15623294	9	4204452	4202900	cccccc
18	11363455	11373960	11	2614906	2600519	cccccc
12	5929263	5939752	17	3695153	3700317	cccccc
13	3030106	3040592	14	8321747	8305650	cccccc
13	3030106	3040592	7	463561	479334	cccccc
14	10353880	10364362	7	2106477	2123173	cccccc
3	8326871	8337345	11	3427267	3448865	cccccc
18	12949364	12959788	11	9538580	9561355	cccccc
2	11837806	11848199	2	3292872	3284195	cccccc
17	11711434	11721822	1	175325	150565	cccccc
17	11711434	11721822	17	5452711	5434326	cccccc
1	6281030	6291395	16	8134681	8082035	cccccc
13	2800317	2810665	14	7262585	7260669	cccccc
13	2800317	2810665	5	6215244	6214136	cccccc
15	4692695	4703039	17	3518070	3530121	cccccc
9	5614327	5624661	6	2888750	2863911	cccccc
4	4989578	4999888	10	3064602	3054528	cccccc
14	10116787	10127090	5	3263058	3254427	cccccc
14	10116787	10127090	7	2581630	2571979	cccccc
2	7164648	7174950	18	4722020	4706246	cccccc
13	13743482	13753781	12	3418260	3441549	cccccc
2	7539586	7549878	18	5518439	5534757	cccccc
18	13998861	14009139	11	6433485	6446120	cccccc
18	13998861	14009139	4	6058044	6046261	cccccc
9	9366729	9376996	3	4827356	4848059	cccccc
14	13587761	13598021	12	10034693	10046139	cccccc
14	13587761	13598021	19	9040260	9050334	cccccc
9	4780732	4790985	6	6613741	6608059	cccccc
15	3652930	3663182	17	2341697	2322153	cccccc
2	3733535	3743766	12	1565656	1577904	cccccc
18	15054644	15064857	11	4902207	4871260	cccccc
3	4235078	4245290	9	2298257	2277437	cccccc
13	574655	584854	14	969017	981098	cccccc
1	13724547	13734740	11	427858	442383	cccccc
1	13724547	13734740	9	414338	425305	cccccc
5	3825264	3835405	14	7518178	7481805	cccccc
2	7293082	7303198	18	4900113	4953892	cccccc
19	15801952	15812038	6	9213255	9155756	cccccc
12	12222155	12232227	17	1215948	1201986	cccccc
9	10851819	10861883	3	1613566	1639214	cccccc
12	12794201	12804241	17	467822	476354	cccccc
3	9437635	9447651	9	866951	855101	cccccc
13	3416231	3426232	14	10918407	10935050	cccccc
13	3416231	3426232	7	6657568	6684635	cccccc
12	6536033	6545969	17	3969680	3996343	cccccc
12	11549188	11559117	17	10209064	10201724	cccccc
13	9553974	9563881	13	1712147	1685460	cccccc
1	13644365	13654263	11	383542	373384	cccccc
1	13644365	13654263	9	289400	279689	cccccc
12	5584176	5594046	1	3466456	3451208	cccccc
12	5584176	5594046	17	3316558	3333287	cccccc
16	12405281	12415123	8	7912917	7897436	cccccc
2	475159	484981	18	767918	780317	cccccc
14	12167104	12176916	10	435843	449669	cccccc
14	12167104	12176916	12	6007069	5995106	cccccc
18	599246	609030	4	9019599	9011204	cccccc
3	16245976	16255737	2	2239747	2248221	cccccc
15	7627814	7637569	17	4744820	4762598	cccccc
19	1038871	1048606	19	491484	481019	cccccc
19	5071620	5081345	16	316837	332353	cccccc
15	9204233	9213953	17	5894018	5874366	cccccc
15	10480256	10489962	17	10209064	10201724	cccccc
13	4769442	4779139	8	2111425	2061323	cccccc
1	308267	317953	6	687338	675560	cccccc
11	12972358	12982039	19	883044	869844	cccccc
15	8873608	8883288	17	6253619	6230256	cccccc
13	2878097	2887757	14	7518178	7481805	cccccc
5	9050737	9060396	3	544775	534347	cccccc
9	12862407	12872064	3	2942482	2962358	cccccc
1	571896	581529	6	1052248	1036681	cccccc
16	4560081	4569713	8	4126797	4169598	cccccc
2	5364460	5374075	18	2244484	2231334	cccccc
16	1640884	1650498	8	11559992	11548478	cccccc
19	4862346	4871945	16	1064294	1080868	cccccc
14	13613893	13623489	12	10064539	10056048	cccccc
14	2815017	2824601	18	9379840	9356385	cccccc
2	8432852	8442433	18	6852092	6857567	cccccc
15	11135555	11145125	17	11979717	11992975	cccccc
13	6922295	6931850	16	1316271	1304552	cccccc
14	12013440	12022989	10	811831	804943	cccccc
15	11508372	11517915	17	1215948	1201986	cccccc
13	2307032	2316561	14	6048652	6026727	cccccc
12	10100312	10109835	17	8660814	8646692	cccccc
13	16228118	16237637	6	9213255	9155756	cccccc
13	2249908	2259421	14	5947324	5923580	cccccc
1	13821193	13830690	9	489240	501935	cccccc
7	9298627	9308124	1	1917782	1903131	cccccc
11	12455383	12464880	19	114759	145317	cccccc
11	5947423	5956904	10	2488119	2474507	cccccc
2	7458979	7468446	18	5441875	5378723	cccccc
14	13005674	13015140	12	9317529	9325191	cccccc
19	4396429	4405879	8	2111425	2061323	cccccc
11	3709515	3718952	19	3687445	3676945	cccccc
4	2629902	2639330	19	3687445	3676945	cccccc
4	3269931	3279359	12	4643622	4650685	cccccc
11	4532559	4541979	19	2811295	2793644	cccccc
13	16261157	16270575	6	9333645	9367047	cccccc
16	6270306	6279718	13	2173561	2189033	cccccc
5	3462314	3471713	14	6048652	6026727	cccccc
13	15755997	15765384	6	8778397	8707020	cccccc
13	3368249	3377626	14	10541605	10528766	cccccc
13	3368249	3377626	7	6490784	6484378	cccccc
15	3902982	3912349	17	2514165	2540667	cccccc
7	5279729	5289094	3	6905947	6914578	cccccc
17	11032277	11041634	1	515760	520675	cccccc
2	15391091	15400447	5	508298	523510	cccccc
2	15391091	15400447	7	4218769	4204103	cccccc
5	2103601	2112946	14	3462115	3450502	cccccc
5	2103601	2112946	5	3263058	3254427	cccccc
3	14862482	14871819	2	2907921	2898362	cccccc
14	12221985	12231318	12	6092047	6086943	cccccc
9	5111597	5120926	6	7218231	7233330	cccccc
12	8660387	8669715	17	7674394	7668429	cccccc
5	3402247	3411564	14	5918700	5857910	cccccc
1	14454478	14463788	9	1315852	1304731	cccccc
2	7280744	7290046	18	4860004	4894761	cccccc
11	14741145	14750447	19	3310413	3302399	cccccc
18	10981857	10991133	11	3008503	3017514	cccccc
18	10981857	10991133	4	3022802	3030353	cccccc
14	10577998	10587269	5	4244048	4260312	cccccc
14	10577998	10587269	7	1659963	1640094	cccccc
5	7824534	7833796	18	760004	750175	cccccc
11	3609888	3619150	12	8897392	8892176	cccccc
11	14516720	14525974	19	2691922	2686509	cccccc
9	2516767	2526008	6	3485728	3463461	cccccc
14	10931994	10941223	12	2458581	2453277	cccccc
9	4970787	4980004	6	6918569	6931710	cccccc
14	9421479	9430690	7	3893367	3884505	cccccc
16	1739493	1748693	8	11737670	11734069	cccccc
13	2174208	2183405	14	5918700	5857910	cccccc
12	12934629	12943799	17	275610	267072	cccccc
14	2571069	2580238	18	8999956	8993468	cccccc
18	10226118	10235284	11	3603892	3604592	cccccc
1	5203198	5212359	17	275610	267072	cccccc
9	9062841	9072002	3	4130708	4161611	cccccc
17	1426009	1435168	10	1642339	1637127	cccccc
2	3385774	3394926	5	5189261	5199845	cccccc
2	1750705	1759853	18	11640586	11636802	cccccc
3	8819033	8828170	9	5848653	5860580	cccccc
11	7755514	7764651	10	4692251	4700305	cccccc
18	13820469	13829606	11	7060532	7056518	cccccc
11	10723879	10733014	19	6806690	6809957	cccccc
18	8637695	8646823	11	1648460	1655096	cccccc
4	3845202	3854306	10	1642339	1637127	cccccc
14	13948543	13957644	12	10250990	10238375	cccccc
3	11223396	11232490	2	5758099	5775361	cccccc
18	1596164	1605246	11	7688676	7667795	cccccc
18	1596164	1605246	4	5390453	5373067	cccccc
4	3314142	3323218	19	2811295	2793644	cccccc
16	13161362	13170437	8	9911868	9911051	cccccc
2	100993	110061	18	297925	263984	cccccc
11	15760063	15769131	19	5531076	5545443	cccccc
15	8125337	8134398	17	5641490	5648475	cccccc
11	6771547	6780597	10	3169764	3189706	cccccc
12	6571428	6580470	17	4013727	4030933	cccccc
12	10312132	10321158	1	9151749	9164537	cccccc
12	10312132	10321158	17	8832529	8840070	cccccc
7	4692461	4701468	18	8092150	8128765	cccccc
18	8332382	8341377	11	2829939	2825909	cccccc
3	12470827	12479810	2	10191824	10201073	cccccc
18	26571	35546	4	2582532	2595257	cccccc
3	14238968	14247917	2	4190643	4176914	cccccc
12	11930866	11939813	17	11979717	11992975	cccccc
13	538810	547756	14	901493	909715	cccccc
2	2344408	2353341	7	6539177	6527199	cccccc
5	1421844	1430768	14	969017	981098	cccccc
9	8541151	8550065	3	6503907	6481183	cccccc
13	6280143	6289057	16	245393	261727	cccccc
1	6351239	6360152	16	6435322	6368743	cccccc
11	7250232	7259144	10	3439036	3462604	cccccc
3	3173056	3181964	19	883044	869844	cccccc
15	7979960	7988856	1	421584	428372	cccccc
15	7979960	7988856	17	5737662	5753340	cccccc
11	5193573	5202466	10	1642339	1637127	cccccc
1	7075232	7084110	2	1585840	1594391	cccccc
11	12956121	12964997	10	3527450	3539950	cccccc
11	12956121	12964997	19	669185	677944	cccccc
2	9657556	9666425	18	9516841	9514594	cccccc
9	2449308	2458177	6	3547478	3531244	cccccc
12	9776217	9785077	17	5894018	5874366	cccccc
14	11938110	11946964	19	6614181	6602089	cccccc
9	9116751	9125601	3	4236062	4216614	cccccc
1	14152110	14160951	9	866951	855101	cccccc
17	1200267	1209101	12	3898562	3917928	cccccc
13	2120035	2128865	14	5774203	5742556	cccccc
18	2819069	2827890	4	3767960	3777012	cccccc
12	4305995	4314815	17	2109434	2134121	cccccc
2	2634398	2643217	7	5860818	5849605	cccccc
16	14116710	14125516	8	10937161	10934273	cccccc
1	10145279	10154071	16	10716375	10692048	cccccc
14	12685270	12694058	19	7379086	7385914	cccccc
4	16565275	16574061	3	4236062	4216614	cccccc
13	1543634	1552415	14	2981439	2988522	cccccc
18	13133130	13141909	11	8395698	8387797	cccccc
13	1632989	1641761	14	2902750	2909271	cccccc
2	9837620	9846388	18	10008491	9961228	cccccc
14	12022646	12031407	10	747148	772628	cccccc
14	12022646	12031407	19	6806690	6809957	cccccc
9	3716594	3725352	6	4477061	4484303	cccccc
18	2020107	2028859	11	5463360	5477250	cccccc
18	2020107	2028859	4	5180683	5200167	cccccc
3	11766376	11775122	16	1064294	1080868	cccccc
12	4711136	4719877	17	2544905	2556529	cccccc
1	5345121	5353848	17	166530	158451	cccccc
5	13598843	13607563	18	5807852	5820694	cccccc
9	2187107	2195824	6	3675702	3662283	cccccc
11	737542	746252	10	463650	466657	cccccc
2	2919247	2927948	7	59086	76624	cccccc
5	15349083	15357779	18	5715724	5718850	cccccc
15	12044321	12053011	17	467822	476354	cccccc
19	5062101	5070790	16	332542	337383	cccccc
18	9701091	9709774	11	3928043	3917245	cccccc
18	10503553	10512231	11	3276074	3271417	cccccc
18	10503553	10512231	9	4173403	4170157	cccccc
2	7701270	7709940	18	5715724	5718850	cccccc
3	9167022	9175692	9	1315852	1304731	cccccc
2	6692301	6700964	18	4167398	4161030	cccccc
1	951862	960524	6	1615854	1621944	cccccc
18	8195548	8204202	11	1183366	1190581	cccccc
18	5656361	5665013	4	1079913	1089984	cccccc
2	7407003	7415647	18	5294278	5304585	cccccc
3	15210143	15218768	2	533824	521424	cccccc
19	15333062	15341686	6	8471160	8458768	cccccc
2	14495700	14504319	7	4784081	4792930	cccccc
4	2056060	2064679	19	4947171	4944143	cccccc
11	8122275	8130893	10	6873990	6870936	cccccc
2	8657373	8665989	18	7066996	7062850	cccccc
2	3936749	3945361	10	5117078	5094376	cccccc
15	3432190	3440797	17	2109434	2134121	cccccc
2	7736759	7745350	18	5807852	5820694	cccccc
18	8686993	8695579	11	1758086	1767250	cccccc
18	8133687	8142269	11	385800	394840	cccccc
14	8792364	8800942	7	4937148	4918786	cccccc
7	7831126	7839700	18	760004	750175	cccccc
12	10195660	10204223	17	8732839	8739268	cccccc
2	8278455	8287015	18	5949276	5939861	cccccc
2	4021285	4029843	10	4807291	4822975	cccccc
15	12395522	12404075	17	166530	158451	cccccc
19	2257829	2266373	14	10918407	10935050	cccccc
19	2257829	2266373	7	6657568	6684635	cccccc
15	11943425	11951964	17	637111	605080	cccccc
12	13088162	13096692	17	166530	158451	cccccc
3	10119265	10127787	11	383542	373384	cccccc
3	10119265	10127787	9	289400	279689	cccccc
18	12849957	12858470	11	9942963	9933148	cccccc
1	8144299	8152809	2	2794278	2803836	cccccc
5	1937182	1945688	14	1929561	1955686	cccccc
9	12003771	12012277	6	11609041	11630915	cccccc
2	15665200	15673689	7	4015186	4010705	cccccc
3	4151123	4159608	9	2302102	2313722	cccccc
15	5373278	5381760	17	4305424	4277971	cccccc
3	10497274	10505754	2	5325864	5297318	cccccc
16	14204025	14212505	6	9055378	9070929	cccccc
16	14204025	14212505	8	862302	801754	cccccc
15	3407262	3415740	17	2017773	2033537	cccccc
2	595806	604277	18	938209	944601	cccccc
18	14509805	14518276	11	6216818	6228878	cccccc
3	9238763	9247231	9	1250269	1263734	cccccc
2	10409866	10418319	15	10927993	10932546	cccccc
13	1322976	1331425	14	3462115	3450502	cccccc
14	6714696	6723144	2	2907921	2898362	cccccc
15	4836193	4844630	17	4959674	4963930	cccccc
14	12138515	12146946	12	5975989	5973055	cccccc
3	11447325	11455755	2	6732964	6712289	cccccc
13	4995955	5004383	8	2727182	2761741	cccccc
2	3253001	3261425	5	5553855	5561506	cccccc
2	3253001	3261425	7	922113	914050	cccccc
2	12092984	12101404	2	2907921	2898362	cccccc
1	13495197	13503611	9	146979	157000	cccccc
3	7879118	7887531	9	4033368	4049467	cccccc
7	14938100	14946505	12	3898562	3917928	cccccc
16	13953847	13962249	6	8856971	8849074	cccccc
16	13953847	13962249	8	10767344	10751655	cccccc
11	15907798	15916190	19	6010870	5996118	cccccc
3	14934619	14943010	2	2794278	2803836	cccccc
15	8508401	8516782	17	7037958	7044149	cccccc
12	8531144	8539515	17	7901222	7897324	cccccc
16	7119669	7128035	6	3802364	3794729	cccccc
13	16027534	16035899	6	8870029	8869213	cccccc
15	6913759	6922121	17	4013727	4030933	cccccc
17	11500571	11508931	17	5620229	5626937	cccccc
15	9719689	9728035	1	9151749	9164537	cccccc
15	9719689	9728035	17	8832529	8840070	cccccc
1	7794234	7802576	2	533824	521424	cccccc
2	6164091	6172427	18	3401893	3410869	cccccc
3	13241874	13250209	16	10716375	10692048	cccccc
13	3120849	3129167	14	8848697	8872086	cccccc
12	6336184	6344487	17	4334309	4309791	cccccc
4	16484302	16492576	3	4075994	4091628	cccccc
12	5648973	5657245	17	3397101	3402803	cccccc
4	9165935	9174197	1	2468754	2475113	cccccc
14	9291195	9299453	7	4015186	4010705	cccccc
18	1447693	1455945	4	6537828	6551181	cccccc
16	1372245	1380494	8	11452917	11436981	cccccc
16	6617770	6626017	6	4477061	4484303	cccccc
14	10612317	10620557	7	1583148	1577823	cccccc
14	4146892	4155121	15	10927993	10932546	cccccc
3	10831079	10839298	2	5400661	5409494	cccccc
2	8998588	9006804	18	7799326	7812505	cccccc
2	8998588	9006804	3	6999512	6998808	cccccc
16	14421918	14430131	8	257061	274980	cccccc
13	2717139	2725351	14	6802051	6811178	cccccc
1	15154645	15162847	9	4908637	4901267	cccccc
13	16131245	16139437	6	9055378	9070929	cccccc
18	10109224	10117402	11	3493115	3486213	cccccc
18	10109224	10117402	9	4439646	4431072	cccccc
11	14346613	14354785	12	4242618	4265231	cccccc
11	14346613	14354785	19	2576484	2588162	cccccc
12	5103520	5111682	17	2724794	2742734	cccccc
12	12736727	12744885	17	637111	605080	cccccc
3	11755982	11764139	2	6816884	6805989	cccccc
12	6033506	6041661	17	4641323	4645881	cccccc
16	6740226	6748379	13	4787460	4792768	cccccc
19	9376962	9385114	13	1777221	1783971	cccccc
3	15220261	15228411	2	570448	557950	cccccc
13	2965428	2973576	14	7745904	7688483	cccccc
19	15738033	15746178	6	9055378	9070929	cccccc
18	14533025	14541167	11	6077864	6084417	cccccc
14	7409423	7417561	2	1090707	1067273	cccccc
11	14483018	14491151	12	6351809	6341971	cccccc
11	14483018	14491151	19	2723239	2720962	cccccc
5	7053407	7061527	1	2062281	2042316	cccccc
14	9335730	9343836	7	3978292	3966219	cccccc
2	886686	894790	18	1491529	1477309	cccccc
2	886686	894790	3	2162023	2141490	cccccc
2	5936171	5944262	18	3079601	3069845	cccccc
3	15559753	15567844	2	1090707	1067273	cccccc
2	9628830	9636920	18	9458054	9445999	cccccc
9	5186954	5195041	6	7318757	7329517	cccccc
11	7791101	7799181	10	4807291	4822975	cccccc
2	14586315	14594390	7	4874278	4871528	cccccc
11	13339741	13347814	19	1302642	1319687	cccccc
19	15663792	15671859	6	8895193	8916273	cccccc
9	11009880	11017945	3	1834888	1825292	cccccc
14	9724962	9733020	7	3415580	3429155	cccccc
3	12497636	12505693	2	10491214	10506570	cccccc
19	7460241	7468298	16	2070536	2074892	cccccc
3	14895540	14903591	2	2876754	2882840	cccccc
2	932814	940863	18	1554498	1550790	cccccc
2	932814	940863	3	2060881	2065849	cccccc
2	2290985	2299034	14	10918407	10935050	cccccc
2	2290985	2299034	7	6657568	6684635	cccccc
12	11401140	11409183	1	7562329	7552415	cccccc
5	1801167	1809209	14	1425180	1426636	cccccc
3	10237450	10245490	9	146979	157000	cccccc
1	11062165	11070204	2	8582220	8574428	cccccc
1	639606	647632	6	1199805	1205425	cccccc
13	15270109	15278134	12	8744137	8740305	cccccc
3	10190920	10198937	9	226199	218822	cccccc
2	9575	17589	18	27609	4590	cccccc
18	2509326	2517339	4	4177427	4166349	cccccc
3	13298993	13307000	16	11912172	11897892	cccccc
15	10400171	10408171	1	7562329	7552415	cccccc
15	10400171	10408171	17	9989722	10000084	cccccc
17	16043045	16051041	16	22183	82965	cccccc
11	14417714	14425702	19	2820615	2829989	cccccc
13	1920002	1927969	14	4409663	4400599	cccccc
1	11008124	11016090	2	8418357	8434527	cccccc
