Weight	Sex
58.21453883	Male
57.2614723	Male
57.42561131	Male
56.68298387	Male
57.81707461	Male
58.4189824	Male
58.32430434	Male
57.21846351	Male
57.21137803	Male
57.49780128	Male
59.49606067	Male
56.86269638	Male
57.82094841	Male
59.90236182	Male
57.89902511	Male
56.6401593	Male
57.33523056	Male
58.48545998	Male
57.62439713	Male
57.43812364	Male
57.65608277	Male
58.09049665	Male
59.59850877	Male
57.91143489	Male
59.0807995	Male
58.63075412	Male
57.8863601	Male
56.467098	Male
57.47888268	Male
57.51012955	Male
58.04715443	Male
59.30019868	Male
60.29307897	Male
59.54758106	Male
57.86684904	Male
56.2434726	Male
57.61122014	Male
58.08920722	Male
58.845013	Male
58.96252797	Male
58.68430943	Male
56.60472565	Male
58.84964305	Male
57.55344278	Male
58.1748027	Male
58.07455118	Male
58.42816676	Male
58.02467498	Male
56.3325249	Male
58.73649596	Male
58.38602657	Male
57.73434837	Male
58.11814451	Male
58.13403865	Male
58.22101947	Male
59.64084617	Male
57.78094962	Male
58.16806538	Male
59.16838387	Male
59.05418102	Male
59.14526311	Male
57.422532	Male
60.00248273	Male
58.06670087	Male
59.86685184	Male
56.64909731	Male
58.02098359	Male
59.24991457	Male
57.28475781	Male
57.24731103	Male
57.0614613	Male
56.94748672	Male
57.56284047	Male
58.33117917	Male
55.9857895	Male
58.21198043	Male
59.23667505	Male
60.03757402	Male
59.30117599	Male
58.75677476	Male
56.2732696	Male
57.39849329	Male
57.64795354	Male
58.7035239	Male
57.89432867	Male
56.74135137	Male
59.68443571	Male
58.91139129	Male
58.23743027	Male
59.21810861	Male
56.66122571	Male
58.6608203	Male
57.47708762	Male
58.68374552	Male
57.93917805	Male
58.63296071	Male
59.33551762	Male
58.00729009	Male
59.01755864	Male
56.81156596	Male
57.27839556	Male
59.51921771	Male
58.37738797	Male
55.94777718	Male
56.63596255	Male
57.79921898	Male
58.8657794	Male
57.89811674	Male
58.62418747	Male
58.95900538	Male
59.67105483	Male
58.05601673	Male
57.94801809	Male
56.24676264	Male
58.09932759	Male
57.42814994	Male
57.02599042	Male
57.82009377	Male
59.01494317	Male
56.00725151	Male
57.57272071	Male
58.11663728	Male
57.10679243	Male
58.33390294	Male
58.41142992	Male
57.96696384	Male
55.53410181	Male
60.57145815	Male
57.79470074	Male
58.65119328	Male
58.27376649	Male
59.02467323	Male
58.81765945	Male
57.79020683	Male
58.37816777	Male
57.05459117	Male
58.85692301	Male
57.53896166	Male
60.41677335	Male
56.3489511	Male
57.53601276	Male
58.82537986	Male
58.51013255	Male
57.41051896	Male
57.00321926	Male
58.1444757	Male
57.98569259	Male
56.20971876	Male
58.03455107	Male
58.19023032	Male
58.1747264	Male
56.94498296	Male
58.47613328	Male
59.37857014	Male
58.4562364	Male
56.86441153	Male
57.56435453	Male
58.34610362	Male
57.35295437	Male
55.84235366	Male
58.88425082	Male
57.17052239	Male
57.42643973	Male
59.50390061	Male
57.22585507	Male
58.84573154	Male
56.73931712	Male
57.6454576	Male
