CompoundID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
C05184	-0.102943355	-0.002943355	0.097056645	0.197056645	0.297056645	0.397056645
C06195	-1.432354081	-1.332354081	-1.232354081	-1.132354081	-1.032354081	-0.932354081
C02538	1.427784888	1.527784888	1.627784888	1.727784888	1.827784888	1.927784888
C02554	-1.279549213	-1.179549213	-1.079549213	-0.979549213	-0.879549213	-0.779549213
C07834	-2.436605011	-2.336605011	-2.236605011	-2.136605011	-2.036605011	-1.936605011
C01678	-1.265892579	-1.165892579	-1.065892579	-0.965892579	-0.865892579	-0.765892579
C15493	-0.408762542	-0.308762542	-0.208762542	-0.108762542	-0.008762542	0.091237458
C16637	1.227757963	1.327757963	1.427757963	1.527757963	1.627757963	1.727757963
C04606	-0.22221301	-0.12221301	-0.02221301	0.07778699	0.17778699	0.27778699
C00980	-1.365001119	-1.265001119	-1.165001119	-1.065001119	-0.965001119	-0.865001119
C05923	0.758145835	0.858145835	0.958145835	1.058145835	1.158145835	1.258145835
C10923	1.219317169	1.319317169	1.419317169	1.519317169	1.619317169	1.719317169
C00297	-0.144469426	-0.044469426	0.055530574	0.155530574	0.255530574	0.355530574
C01527	-0.313439014	-0.213439014	-0.113439014	-0.013439014	0.086560986	0.186560986
C03972	0.110582627	0.210582627	0.310582627	0.410582627	0.510582627	0.610582627
C00153	2.550170831	2.650170831	2.750170831	2.850170831	2.950170831	3.050170831
C01378	0.669757498	0.769757498	0.869757498	0.969757498	1.069757498	1.169757498
C06018	0.78584308	0.88584308	0.98584308	1.08584308	1.18584308	1.28584308
C06144	-0.176655389	-0.076655389	0.023344611	0.123344611	0.223344611	0.323344611
C03393	-1.802701513	-1.702701513	-1.602701513	-1.502701513	-1.402701513	-1.302701513
C02906	-0.297792891	-0.197792891	-0.097792891	0.002207109	0.102207109	0.202207109
C00186	0.298959588	0.398959588	0.498959588	0.598959588	0.698959588	0.798959588
C00479	-0.757220541	-0.657220541	-0.557220541	-0.457220541	-0.357220541	-0.257220541
C06821	-0.781233934	-0.681233934	-0.581233934	-0.481233934	-0.381233934	-0.281233934
C11868	-0.504000035	-0.404000035	-0.304000035	-0.204000035	-0.104000035	-0.004000035
C14463	-0.362749609	-0.262749609	-0.162749609	-0.062749609	0.037250391	0.137250391
C00295	1.294269285	1.394269285	1.494269285	1.594269285	1.694269285	1.794269285
C05469	0.85892572	0.95892572	1.05892572	1.15892572	1.25892572	1.35892572
C08721	0.144454639	0.244454639	0.344454639	0.444454639	0.544454639	0.644454639
C05183	1.190182694	1.290182694	1.390182694	1.490182694	1.590182694	1.690182694
C03298	0.221637963	0.321637963	0.421637963	0.521637963	0.621637963	0.721637963
C00747	1.02508832	1.12508832	1.22508832	1.32508832	1.42508832	1.52508832
C11514	-1.129783913	-1.029783913	-0.929783913	-0.829783913	-0.729783913	-0.629783913
C00247	-1.132673048	-1.032673048	-0.932673048	-0.832673048	-0.732673048	-0.632673048
C05258	2.154253395	2.254253395	2.354253395	2.454253395	2.554253395	2.654253395
C07573	1.115389227	1.215389227	1.315389227	1.415389227	1.515389227	1.615389227
C16514	-2.034320673	-1.934320673	-1.834320673	-1.734320673	-1.634320673	-1.534320673
C07731	-0.126974683	-0.026974683	0.073025317	0.173025317	0.273025317	0.373025317
C06725	0.493786691	0.593786691	0.693786691	0.793786691	0.893786691	0.993786691
C19706	-0.226764003	-0.126764003	-0.026764003	0.073235997	0.173235997	0.273235997
C16217	0.452012492	0.552012492	0.652012492	0.752012492	0.852012492	0.952012492
C01829	-0.689469107	-0.589469107	-0.489469107	-0.389469107	-0.289469107	-0.189469107
C13890	1.30270223	1.40270223	1.50270223	1.60270223	1.70270223	1.80270223
C03846	0.292844586	0.392844586	0.492844586	0.592844586	0.692844586	0.792844586
C02634	0.299027597	0.399027597	0.499027597	0.599027597	0.699027597	0.799027597
C16171	-1.557037257	-1.457037257	-1.357037257	-1.257037257	-1.157037257	-1.057037257
C12833	0.572921886	0.672921886	0.772921886	0.872921886	0.972921886	1.072921886
C02848	-0.205450475	-0.105450475	-0.005450475	0.094549525	0.194549525	0.294549525
C08404	-0.44761712	-0.34761712	-0.24761712	-0.14761712	-0.04761712	0.05238288
C17883	-0.870098118	-0.770098118	-0.670098118	-0.570098118	-0.470098118	-0.370098118
C01751	-0.547984314	-0.447984314	-0.347984314	-0.247984314	-0.147984314	-0.047984314
C01646	-0.03181207	0.06818793	0.16818793	0.26818793	0.36818793	0.46818793
C02677	0.059654473	0.159654473	0.259654473	0.359654473	0.459654473	0.559654473
C01972	0.204098825	0.304098825	0.404098825	0.504098825	0.604098825	0.704098825
C06071	1.011154087	1.111154087	1.211154087	1.311154087	1.411154087	1.511154087
C15532	0.04987339	0.14987339	0.24987339	0.34987339	0.44987339	0.54987339
C02130	0.2958224	0.3958224	0.4958224	0.5958224	0.6958224	0.7958224
C05318	0.241183734	0.341183734	0.441183734	0.541183734	0.641183734	0.741183734
C02249	0.644640376	0.744640376	0.844640376	0.944640376	1.044640376	1.144640376
C05139	2.940246341	3.040246341	3.140246341	3.240246341	3.340246341	3.440246341
C06824	-1.741244113	-1.641244113	-1.541244113	-1.441244113	-1.341244113	-1.241244113
C09705	-0.356952365	-0.256952365	-0.156952365	-0.056952365	0.043047635	0.143047635
C05441	0.146724638	0.246724638	0.346724638	0.446724638	0.546724638	0.646724638
C00803	-0.488154646	-0.388154646	-0.288154646	-0.188154646	-0.088154646	0.011845354
C02094	-0.32138564	-0.22138564	-0.12138564	-0.02138564	0.07861436	0.17861436
C00713	-2.867426004	-2.767426004	-2.667426004	-2.567426004	-2.467426004	-2.367426004
C06557	-0.225230301	-0.125230301	-0.025230301	0.074769699	0.174769699	0.274769699
C04872	0.281277535	0.381277535	0.481277535	0.581277535	0.681277535	0.781277535
C07096	0.559672124	0.659672124	0.759672124	0.859672124	0.959672124	1.059672124
C10287	-0.008806578	0.091193422	0.191193422	0.291193422	0.391193422	0.491193422
C00748	0.99987485	1.09987485	1.19987485	1.29987485	1.39987485	1.49987485
C04461	0.234128416	0.334128416	0.434128416	0.534128416	0.634128416	0.734128416
C11832	-2.088070293	-1.988070293	-1.888070293	-1.788070293	-1.688070293	-1.588070293
C00362	0.996156016	1.096156016	1.196156016	1.296156016	1.396156016	1.496156016
C08526	0.579622221	0.679622221	0.779622221	0.879622221	0.979622221	1.079622221
C11395	-0.761013222	-0.661013222	-0.561013222	-0.461013222	-0.361013222	-0.261013222
C13377	-0.417928442	-0.317928442	-0.217928442	-0.117928442	-0.017928442	0.082071558
C00138	2.43324219	2.53324219	2.63324219	2.73324219	2.83324219	2.93324219
C01910	-1.8997354	-1.7997354	-1.6997354	-1.5997354	-1.4997354	-1.3997354
C03570	0.8942962	0.9942962	1.0942962	1.1942962	1.2942962	1.3942962
C00369	-0.894337689	-0.794337689	-0.694337689	-0.594337689	-0.494337689	-0.394337689
C01952	1.061901599	1.161901599	1.261901599	1.361901599	1.461901599	1.561901599
C05125	-0.857945698	-0.757945698	-0.657945698	-0.557945698	-0.457945698	-0.357945698
C01705	-0.364173688	-0.264173688	-0.164173688	-0.064173688	0.035826312	0.135826312
C00160	1.495663645	1.595663645	1.695663645	1.795663645	1.895663645	1.995663645
C04286	-0.793175351	-0.693175351	-0.593175351	-0.493175351	-0.393175351	-0.293175351
C04199	0.635259971	0.735259971	0.835259971	0.935259971	1.035259971	1.135259971
C00801	-0.051177077	0.048822923	0.148822923	0.248822923	0.348822923	0.448822923
C09126	-0.612502259	-0.512502259	-0.412502259	-0.312502259	-0.212502259	-0.112502259
C01942	0.106439522	0.206439522	0.306439522	0.406439522	0.506439522	0.606439522
C06174	-0.408676346	-0.308676346	-0.208676346	-0.108676346	-0.008676346	0.091323654
C02183	1.111244161	1.211244161	1.311244161	1.411244161	1.511244161	1.611244161
C04686	0.272183563	0.372183563	0.472183563	0.572183563	0.672183563	0.772183563
C02810	0.13605577	0.23605577	0.33605577	0.43605577	0.53605577	0.63605577
C06852	1.10019135	1.20019135	1.30019135	1.40019135	1.50019135	1.60019135
C10330	-2.475053206	-2.375053206	-2.275053206	-2.175053206	-2.075053206	-1.975053206
C11793	-0.287066972	-0.187066972	-0.087066972	0.012933028	0.112933028	0.212933028
C11158	0.376353039	0.476353039	0.576353039	0.676353039	0.776353039	0.876353039
C00324	-1.044549691	-0.944549691	-0.844549691	-0.744549691	-0.644549691	-0.544549691
C14709	-0.626661779	-0.526661779	-0.426661779	-0.326661779	-0.226661779	-0.126661779
C03881	0.508144678	0.608144678	0.708144678	0.808144678	0.908144678	1.008144678
C05840	-1.357674083	-1.257674083	-1.157674083	-1.057674083	-0.957674083	-0.857674083
C02131	2.18438291	2.28438291	2.38438291	2.48438291	2.58438291	2.68438291
C02533	0.313353265	0.413353265	0.513353265	0.613353265	0.713353265	0.813353265
C04292	1.096436854	1.196436854	1.296436854	1.396436854	1.496436854	1.596436854
C04750	-0.463338236	-0.363338236	-0.263338236	-0.163338236	-0.063338236	0.036661764
C00292	1.702076599	1.802076599	1.902076599	2.002076599	2.102076599	2.202076599
C09675	1.632739635	1.732739635	1.832739635	1.932739635	2.032739635	2.132739635
C14374	0.254082191	0.354082191	0.454082191	0.554082191	0.654082191	0.754082191
C00605	-1.089314996	-0.989314996	-0.889314996	-0.789314996	-0.689314996	-0.589314996
C04448	-1.075054699	-0.975054699	-0.875054699	-0.775054699	-0.675054699	-0.575054699
C07599	-2.557555737	-2.457555737	-2.357555737	-2.257555737	-2.157555737	-2.057555737
C01808	-1.710103854	-1.610103854	-1.510103854	-1.410103854	-1.310103854	-1.210103854
C00108	2.123037518	2.223037518	2.323037518	2.423037518	2.523037518	2.623037518
C02924	-1.595136825	-1.495136825	-1.395136825	-1.295136825	-1.195136825	-1.095136825
C08046	-0.635824438	-0.535824438	-0.435824438	-0.335824438	-0.235824438	-0.135824438
C00978	0.338014924	0.438014924	0.538014924	0.638014924	0.738014924	0.838014924
C04916	-0.246061413	-0.146061413	-0.046061413	0.053938587	0.153938587	0.253938587
C00842	0.754253484	0.854253484	0.954253484	1.054253484	1.154253484	1.254253484
C05498	-3.170093044	-3.070093044	-2.970093044	-2.870093044	-2.770093044	-2.670093044
C12394	-0.500963177	-0.400963177	-0.300963177	-0.200963177	-0.100963177	-0.000963177
C12145	-0.343879486	-0.243879486	-0.143879486	-0.043879486	0.056120514	0.156120514
C07441	0.576418788	0.676418788	0.776418788	0.876418788	0.976418788	1.076418788
C09625	0.971697352	1.071697352	1.171697352	1.271697352	1.371697352	1.471697352
C06340	-0.040800855	0.059199145	0.159199145	0.259199145	0.359199145	0.459199145
C00815	1.005036849	1.105036849	1.205036849	1.305036849	1.405036849	1.505036849
C01142	0.077775231	0.177775231	0.277775231	0.377775231	0.477775231	0.577775231
C06768	-0.836875154	-0.736875154	-0.636875154	-0.536875154	-0.436875154	-0.336875154
C03521	-0.01872474	0.08127526	0.18127526	0.28127526	0.38127526	0.48127526
C01905	0.601505554	0.701505554	0.801505554	0.901505554	1.001505554	1.101505554
C04844	0.177051965	0.277051965	0.377051965	0.477051965	0.577051965	0.677051965
C02488	0.383704383	0.483704383	0.583704383	0.683704383	0.783704383	0.883704383
C05668	-0.191719946	-0.091719946	0.008280054	0.108280054	0.208280054	0.308280054
C15926	0.572286955	0.672286955	0.772286955	0.872286955	0.972286955	1.072286955
C11635	0.538144434	0.638144434	0.738144434	0.838144434	0.938144434	1.038144434
C05944	-0.116787573	-0.016787573	0.083212427	0.183212427	0.283212427	0.383212427
C11150	-1.092298041	-0.992298041	-0.892298041	-0.792298041	-0.692298041	-0.592298041
C04083	0.194511547	0.294511547	0.394511547	0.494511547	0.594511547	0.694511547
C17934	-1.029075994	-0.929075994	-0.829075994	-0.729075994	-0.629075994	-0.529075994
C11134	-0.278431485	-0.178431485	-0.078431485	0.021568515	0.121568515	0.221568515
C00188	-2.864377401	-2.764377401	-2.664377401	-2.564377401	-2.464377401	-2.364377401
C01138	-0.6984593	-0.5984593	-0.4984593	-0.3984593	-0.2984593	-0.1984593
C13410	-0.669015929	-0.569015929	-0.469015929	-0.369015929	-0.269015929	-0.169015929
C06542	1.269075091	1.369075091	1.469075091	1.569075091	1.669075091	1.769075091
C02201	-0.484995726	-0.384995726	-0.284995726	-0.184995726	-0.084995726	0.015004274
C06318	0.956479402	1.056479402	1.156479402	1.256479402	1.356479402	1.456479402
C10390	2.548540086	2.648540086	2.748540086	2.848540086	2.948540086	3.048540086
C04630	0.665082632	0.765082632	0.865082632	0.965082632	1.065082632	1.165082632
C01948	-1.68135677	-1.58135677	-1.48135677	-1.38135677	-1.28135677	-1.18135677
C01508	-0.642462033	-0.542462033	-0.442462033	-0.342462033	-0.242462033	-0.142462033
C12632	-0.860218966	-0.760218966	-0.660218966	-0.560218966	-0.460218966	-0.360218966
C01456	1.711258125	1.811258125	1.911258125	2.011258125	2.111258125	2.211258125
C00904	-0.079439715	0.020560285	0.120560285	0.220560285	0.320560285	0.420560285
C12424	-1.035789323	-0.935789323	-0.835789323	-0.735789323	-0.635789323	-0.535789323
C07639	0.365281786	0.465281786	0.565281786	0.665281786	0.765281786	0.865281786
C04002	1.76542837	1.86542837	1.96542837	2.06542837	2.16542837	2.26542837
C01411	1.872577887	1.972577887	2.072577887	2.172577887	2.272577887	2.372577887
C00144	-1.230736896	-1.130736896	-1.030736896	-0.930736896	-0.830736896	-0.730736896
C13690	1.571153296	1.671153296	1.771153296	1.871153296	1.971153296	2.071153296
C14447	0.282351559	0.382351559	0.482351559	0.582351559	0.682351559	0.782351559
C06800	-0.244064019	-0.144064019	-0.044064019	0.055935981	0.155935981	0.255935981
C02028	2.395921187	2.495921187	2.595921187	2.695921187	2.795921187	2.895921187
C03408	0.376754734	0.476754734	0.576754734	0.676754734	0.776754734	0.876754734
C04349	1.521763812	1.621763812	1.721763812	1.821763812	1.921763812	2.021763812
C10826	-0.907007084	-0.807007084	-0.707007084	-0.607007084	-0.507007084	-0.407007084
C02752	-1.042941132	-0.942941132	-0.842941132	-0.742941132	-0.642941132	-0.542941132
C00787	-1.418761761	-1.318761761	-1.218761761	-1.118761761	-1.018761761	-0.918761761
C06354	-0.606577295	-0.506577295	-0.406577295	-0.306577295	-0.206577295	-0.106577295
C02236	1.327968999	1.427968999	1.527968999	1.627968999	1.727968999	1.827968999
C00565	1.004760935	1.104760935	1.204760935	1.304760935	1.404760935	1.504760935
C05513	-0.62909684	-0.52909684	-0.42909684	-0.32909684	-0.22909684	-0.12909684
C04037	0.038705212	0.138705212	0.238705212	0.338705212	0.438705212	0.538705212
C02153	2.081087986	2.181087986	2.281087986	2.381087986	2.481087986	2.581087986
C02247	0.973446878	1.073446878	1.173446878	1.273446878	1.373446878	1.473446878
C10043	-1.593239763	-1.493239763	-1.393239763	-1.293239763	-1.193239763	-1.093239763
C06306	0.22318804	0.32318804	0.42318804	0.52318804	0.62318804	0.72318804
C01804	-0.422228331	-0.322228331	-0.222228331	-0.122228331	-0.022228331	0.077771669
C02657	-0.396802993	-0.296802993	-0.196802993	-0.096802993	0.003197007	0.103197007
C09821	-2.4213881	-2.3213881	-2.2213881	-2.1213881	-2.0213881	-1.9213881
C08858	0.063804614	0.163804614	0.263804614	0.363804614	0.463804614	0.563804614
C06368	-0.80132033	-0.70132033	-0.60132033	-0.50132033	-0.40132033	-0.30132033
C04399	2.094827973	2.194827973	2.294827973	2.394827973	2.494827973	2.594827973
C06984	0.223002672	0.323002672	0.423002672	0.523002672	0.623002672	0.723002672
C08518	-0.156941345	-0.056941345	0.043058655	0.143058655	0.243058655	0.343058655
C03629	-0.373548774	-0.273548774	-0.173548774	-0.073548774	0.026451226	0.126451226
C01885	-0.577677509	-0.477677509	-0.377677509	-0.277677509	-0.177677509	-0.077677509
C06026	-0.008384376	0.091615624	0.191615624	0.291615624	0.391615624	0.491615624
C11527	0.61639402	0.71639402	0.81639402	0.91639402	1.01639402	1.11639402
C06537	-0.15734659	-0.05734659	0.04265341	0.14265341	0.24265341	0.34265341
C08135	-0.02454093	0.07545907	0.17545907	0.27545907	0.37545907	0.47545907
C00708	-0.377763507	-0.277763507	-0.177763507	-0.077763507	0.022236493	0.122236493
C08383	0.349634079	0.449634079	0.549634079	0.649634079	0.749634079	0.849634079
C00136	-0.473614769	-0.373614769	-0.273614769	-0.173614769	-0.073614769	0.026385231
C16159	-0.208168192	-0.108168192	-0.008168192	0.091831808	0.191831808	0.291831808
C04064	0.347143691	0.447143691	0.547143691	0.647143691	0.747143691	0.847143691
C00879	-0.794612863	-0.694612863	-0.594612863	-0.494612863	-0.394612863	-0.294612863
C05895	0.06319784	0.16319784	0.26319784	0.36319784	0.46319784	0.56319784
C01926	0.450547306	0.550547306	0.650547306	0.750547306	0.850547306	0.950547306
C18626	0.634659442	0.734659442	0.834659442	0.934659442	1.034659442	1.134659442
C04527	-0.764852024	-0.664852024	-0.564852024	-0.464852024	-0.364852024	-0.264852024
C04919	0.170170271	0.270170271	0.370170271	0.470170271	0.570170271	0.670170271
C00139	-0.425244883	-0.325244883	-0.225244883	-0.125244883	-0.025244883	0.074755117
C07127	-0.291616545	-0.191616545	-0.091616545	0.008383455	0.108383455	0.208383455
C06660	-1.008953169	-0.908953169	-0.808953169	-0.708953169	-0.608953169	-0.508953169
C04740	0.666790922	0.766790922	0.866790922	0.966790922	1.066790922	1.166790922
C06708	-1.18172951	-1.08172951	-0.98172951	-0.88172951	-0.78172951	-0.68172951
C00885	-1.196317925	-1.096317925	-0.996317925	-0.896317925	-0.796317925	-0.696317925
C00197	-1.560808153	-1.460808153	-1.360808153	-1.260808153	-1.160808153	-1.060808153
C09248	-0.878807588	-0.778807588	-0.678807588	-0.578807588	-0.478807588	-0.378807588
C08278	-0.183807572	-0.083807572	0.016192428	0.116192428	0.216192428	0.316192428
C01088	0.089910259	0.189910259	0.289910259	0.389910259	0.489910259	0.589910259
C11536	-1.170763218	-1.070763218	-0.970763218	-0.870763218	-0.770763218	-0.670763218
C02077	0.514015035	0.614015035	0.714015035	0.814015035	0.914015035	1.014015035
C05932	0.09339674	0.19339674	0.29339674	0.39339674	0.49339674	0.59339674
C03884	-0.488030341	-0.388030341	-0.288030341	-0.188030341	-0.088030341	0.011969659
C00140	0.126840358	0.226840358	0.326840358	0.426840358	0.526840358	0.626840358
C03502	1.342601095	1.442601095	1.542601095	1.642601095	1.742601095	1.842601095
C12624	0.463322784	0.563322784	0.663322784	0.763322784	0.863322784	0.963322784
C07323	0.845382272	0.945382272	1.045382272	1.145382272	1.245382272	1.345382272
C04596	-0.97712605	-0.87712605	-0.77712605	-0.67712605	-0.57712605	-0.47712605
C02771	-0.132664221	-0.032664221	0.067335779	0.167335779	0.267335779	0.367335779
C08794	-0.970767474	-0.870767474	-0.770767474	-0.670767474	-0.570767474	-0.470767474
C11520	1.031627952	1.131627952	1.231627952	1.331627952	1.431627952	1.531627952
C00536	1.031243434	1.131243434	1.231243434	1.331243434	1.431243434	1.531243434
C04073	-0.47361772	-0.37361772	-0.27361772	-0.17361772	-0.07361772	0.02638228
C06850	-1.804490907	-1.704490907	-1.604490907	-1.504490907	-1.404490907	-1.304490907
C01706	-0.128236177	-0.028236177	0.071763823	0.171763823	0.271763823	0.371763823
C05627	0.133205537	0.233205537	0.333205537	0.433205537	0.533205537	0.633205537
C13719	2.18298156	2.28298156	2.38298156	2.48298156	2.58298156	2.68298156
C06307	1.568967246	1.668967246	1.768967246	1.868967246	1.968967246	2.068967246
C12367	0.921708911	1.021708911	1.121708911	1.221708911	1.321708911	1.421708911
C04042	-0.166891222	-0.066891222	0.033108778	0.133108778	0.233108778	0.333108778
C04858	0.725164839	0.825164839	0.925164839	1.025164839	1.125164839	1.225164839
C14387	0.600351389	0.700351389	0.800351389	0.900351389	1.000351389	1.100351389
C11612	-2.069175938	-1.969175938	-1.869175938	-1.769175938	-1.669175938	-1.569175938
C07221	-0.943866188	-0.843866188	-0.743866188	-0.643866188	-0.543866188	-0.443866188
C03064	-0.497905836	-0.397905836	-0.297905836	-0.197905836	-0.097905836	0.002094164
C11400	1.006105391	1.106105391	1.206105391	1.306105391	1.406105391	1.506105391
C02988	-1.883682706	-1.783682706	-1.683682706	-1.583682706	-1.483682706	-1.383682706
C06763	-0.417583456	-0.317583456	-0.217583456	-0.117583456	-0.017583456	0.082416544
C12838	-1.085258449	-0.985258449	-0.885258449	-0.785258449	-0.685258449	-0.585258449
C00799	-0.207953079	-0.107953079	-0.007953079	0.092046921	0.192046921	0.292046921
C06971	1.828104231	1.928104231	2.028104231	2.128104231	2.228104231	2.328104231
C01667	-1.201514395	-1.101514395	-1.001514395	-0.901514395	-0.801514395	-0.701514395
C08065	0.50794571	0.60794571	0.70794571	0.80794571	0.90794571	1.00794571
C04826	2.485626341	2.585626341	2.685626341	2.785626341	2.885626341	2.985626341
C00518	-0.1952164	-0.0952164	0.0047836	0.1047836	0.2047836	0.3047836
C00089	-1.164639396	-1.064639396	-0.964639396	-0.864639396	-0.764639396	-0.664639396
C01836	0.13163788	0.23163788	0.33163788	0.43163788	0.53163788	0.63163788
C00628	-1.304529692	-1.204529692	-1.104529692	-1.004529692	-0.904529692	-0.804529692
C13808	0.704110612	0.804110612	0.904110612	1.004110612	1.104110612	1.204110612
C00596	1.205205454	1.305205454	1.405205454	1.505205454	1.605205454	1.705205454
C16838	-1.087289343	-0.987289343	-0.887289343	-0.787289343	-0.687289343	-0.587289343
C00004	-0.527050361	-0.427050361	-0.327050361	-0.227050361	-0.127050361	-0.027050361
C06311	0.429200529	0.529200529	0.629200529	0.729200529	0.829200529	0.929200529
C05662	0.991537365	1.091537365	1.191537365	1.291537365	1.391537365	1.491537365
C08335	-0.963853137	-0.863853137	-0.763853137	-0.663853137	-0.563853137	-0.463853137
C06060	-1.548425842	-1.448425842	-1.348425842	-1.248425842	-1.148425842	-1.048425842
C01864	0.115632872	0.215632872	0.315632872	0.415632872	0.515632872	0.615632872
C09327	-0.090083271	0.009916729	0.109916729	0.209916729	0.309916729	0.409916729
C02911	0.540314909	0.640314909	0.740314909	0.840314909	0.940314909	1.040314909
C00846	-0.175475965	-0.075475965	0.024524035	0.124524035	0.224524035	0.324524035
C00213	1.230637345	1.330637345	1.430637345	1.530637345	1.630637345	1.730637345
C05273	0.289091288	0.389091288	0.489091288	0.589091288	0.689091288	0.789091288
C00899	0.263739838	0.363739838	0.463739838	0.563739838	0.663739838	0.763739838
C06486	-0.363656447	-0.263656447	-0.163656447	-0.063656447	0.036343553	0.136343553
C05116	-0.574670949	-0.474670949	-0.374670949	-0.274670949	-0.174670949	-0.074670949
C05602	0.917250634	1.017250634	1.117250634	1.217250634	1.317250634	1.417250634
C11004	-1.008944757	-0.908944757	-0.808944757	-0.708944757	-0.608944757	-0.508944757
C15676	2.035586169	2.135586169	2.235586169	2.335586169	2.435586169	2.535586169
C10906	0.836458805	0.936458805	1.036458805	1.136458805	1.236458805	1.336458805
C04232	-0.954576922	-0.854576922	-0.754576922	-0.654576922	-0.554576922	-0.454576922
C00315	-0.249179976	-0.149179976	-0.049179976	0.050820024	0.150820024	0.250820024
C06888	0.788163039	0.888163039	0.988163039	1.088163039	1.188163039	1.288163039
C13834	0.690817627	0.790817627	0.890817627	0.990817627	1.090817627	1.190817627
C04773	0.520781408	0.620781408	0.720781408	0.820781408	0.920781408	1.020781408
C12486	0.467551947	0.567551947	0.667551947	0.767551947	0.867551947	0.967551947
C11261	0.894781461	0.994781461	1.094781461	1.194781461	1.294781461	1.394781461
C00541	-0.661850445	-0.561850445	-0.461850445	-0.361850445	-0.261850445	-0.161850445
C08309	0.058193903	0.158193903	0.258193903	0.358193903	0.458193903	0.558193903
C00332	-1.915401381	-1.815401381	-1.715401381	-1.615401381	-1.515401381	-1.415401381
C05568	-1.061106069	-0.961106069	-0.861106069	-0.761106069	-0.661106069	-0.561106069
C06152	-0.333859122	-0.233859122	-0.133859122	-0.033859122	0.066140878	0.166140878
C03466	-0.542371626	-0.442371626	-0.342371626	-0.242371626	-0.142371626	-0.042371626
C14807	-1.075829827	-0.975829827	-0.875829827	-0.775829827	-0.675829827	-0.575829827
C05348	1.296205705	1.396205705	1.496205705	1.596205705	1.696205705	1.796205705
C10921	-0.532677854	-0.432677854	-0.332677854	-0.232677854	-0.132677854	-0.032677854
C00714	0.911556807	1.011556807	1.111556807	1.211556807	1.311556807	1.411556807
C06321	1.081221883	1.181221883	1.281221883	1.381221883	1.481221883	1.581221883
C02983	-0.611780408	-0.511780408	-0.411780408	-0.311780408	-0.211780408	-0.111780408
C11993	0.652545146	0.752545146	0.852545146	0.952545146	1.052545146	1.152545146
C11898	-0.749805416	-0.649805416	-0.549805416	-0.449805416	-0.349805416	-0.249805416
C13425	-0.674127409	-0.574127409	-0.474127409	-0.374127409	-0.274127409	-0.174127409
C09382	-1.368158041	-1.268158041	-1.168158041	-1.068158041	-0.968158041	-0.868158041
C11054	-1.319376826	-1.219376826	-1.119376826	-1.019376826	-0.919376826	-0.819376826
