CompoundID	Sample1
C04042	-0.166891222
C04858	0.725164839
C14387	0.600351389
C11612	-2.069175938
C07221	-0.943866188
C03064	-0.497905836
C11400	1.006105391
C02988	-1.883682706
C06763	-0.417583456
C12838	-1.085258449
C00799	-0.207953079
C06971	1.828104231
C01667	-1.201514395
C08065	0.50794571
C04826	2.485626341
C00518	-0.1952164
C00089	-1.164639396
C01836	0.13163788
C00628	-1.304529692
C13808	0.704110612
C00596	1.205205454
C16838	-1.087289343
C00004	-0.527050361
C06311	0.429200529
C05662	0.991537365
C08335	-0.963853137
C06060	-1.548425842
C01864	0.115632872
C09327	-0.090083271
C02911	0.540314909
C00846	-0.175475965
C00213	1.230637345
C05273	0.289091288
C00899	0.263739838
C06486	-0.363656447
C05116	-0.574670949
C05602	0.917250634
C11004	-1.008944757
C15676	2.035586169
C10906	0.836458805
C04232	-0.954576922
C00315	-0.249179976
C06888	0.788163039
C13834	0.690817627
C04773	0.520781408
C12486	0.467551947
C11261	0.894781461
C00541	-0.661850445
C08309	0.058193903
C00332	-1.915401381
C05568	-1.061106069
C06152	-0.333859122
C03466	-0.542371626
C14807	-1.075829827
C05348	1.296205705
C10921	-0.532677854
C00714	0.911556807
C06321	1.081221883
C02983	-0.611780408
C11993	0.652545146
C11898	-0.749805416
C13425	-0.674127409
C09382	-1.368158041
C11054	-1.319376826
C06598	0.74742902
C09880	-0.690286134
C04144	-0.929652687
C04943	0.66037939
C03240	1.10316503
C01902	0.999638938
C13814	-0.562484558
C08416	0.90331315
C04742	-0.885751469
C16261	1.109018804
C00746	0.404886619
C12305	-0.087368186
C02229	-0.429671715
C04025	1.152443356
C06476	-0.778637752
C08142	-1.473121459
C01728	2.090585278
C07666	-0.135414953
C00288	-0.796183884
C01662	-1.065961952
C05317	-0.653785991
C14767	0.251477543
C16190	-0.452633714
C07649	-1.579587698
C09882	-0.194349391
C00946	2.023809079
C07492	0.952199906
C01372	-0.188943976
C02823	0.871462286
C12448	-0.868036297
C10165	1.109766585
C00437	0.173918875
C00695	0.982027761
C14520	0.344117864
C11529	-0.141627642
C12557	0.285515603
C03851	-0.615332027
C04756	-0.638145323
C06085	0.330097051
C06584	1.632940096
C07315	0.523842446
C01021	0.228227641
C02357	-1.112999835
C02255	0.52308067
C00850	0.950382542
C07019	0.230645494
C07398	-0.574095512
C05140	-1.571248426
C10395	1.203875556
C08819	0.638403882
C07269	-1.092148336
C05806	-0.589373878
C10982	-1.489425998
C02994	-1.586703644
C09839	-0.204443394
C04796	-0.165485132
C14397	0.011213624
C14778	1.51059898
C05204	0.259090942
C02811	0.437390297
C04446	0.79031855
C00043	-1.108615754
C05502	0.053234907
C02970	-1.182743681
C00049	1.214472954
C06503	0.557763351
C04729	-0.208056413
C11751	0.543632146
C11062	-0.884291307
C04425	0.251879278
C07287	0.601669957
C00438	-2.464236726
C02059	-1.413325803
C14821	0.639473726
C01849	-0.122062177
C06031	-0.3171303
C01242	-1.448980158
C04084	-1.515470138
C04351	-0.285394592
C01279	-1.045842295
C14415	0.115960358
C14425	-0.259454309
C12012	-0.882597296
C08734	0.090457018
C06747	-0.122764913
C01468	-0.658964819
C01921	0.941542518
C00441	-0.773015151
C11901	-0.289261802
C14355	0.162049785
C11596	0.161073302
C08433	-1.347315301
C02324	0.517735352
C06860	1.218433913
C00941	0.037679458
C01969	-0.143050717
C02206	-0.401159378
C11059	-1.0019254
C04069	1.08752065
C05790	1.101256217
C05067	0.815518767
C07527	-0.860745915
C11262	-0.592690453
C08130	0.340772349
C09890	-1.10610137
C06610	0.457389667
C04170	1.472096577
C02354	0.981814142
C03915	0.085383134
C05817	1.6417337
C01771	-1.696502073
C01283	0.230583643
C05838	-0.16023235
C07756	1.030944807
C05448	-0.216699188
C02227	1.003649465
C10928	0.018144482
C08385	-0.334031828
C00631	-0.028792407
C04494	-0.616136172
C02139	0.402409844
C02899	0.653877579
C01394	-1.200723267
C01198	-0.574061419
C00146	0.331200487
C04582	-0.453204426
C11862	-0.630146873
C11401	0.077084764
C02952	1.501282166
C12398	-1.836765328
C02177	-0.24281362
C03985	-0.919326419
C15589	0.721299091
C12724	-1.214310332
C07005	0.825855991
C03212	-1.213089992
C03494	-0.133012904
C12128	-0.086100685
C02576	0.895743634
C07434	-0.312798272
C02534	1.858473676
C11389	-0.043526785
C05913	-1.704460956
C03645	-0.263067401
C08201	1.008608938
C04165	-0.402591326
C13623	1.607179652
C06638	-1.544506439
C09871	-1.169043337
C07758	-0.987196397
C05296	1.649888522
C11421	0.003228774
C09290	-0.068101288
C00182	0.670457664
C01712	1.049923349
C03736	2.119638595
C17500	0.41202195
C07417	-0.096946752
C10303	-2.078115686
C03599	-0.837993361
C01351	-0.885773026
C05620	-0.427378562
C08588	-0.501839193
C05145	-1.328769195
C07546	0.282495634
C00992	-1.99322366
C11808	-1.481762351
C09018	1.274137073
C02162	0.124826407
C15650	0.716266759
C16162	-0.83037344
C06823	-1.581194555
C09815	-1.657551709
C07785	0.876159869
C00822	-1.674206246
C00051	0.617896513
C02530	-0.610219736
C07044	0.463801725
C00645	-1.15659335
C07464	1.427540691
C09921	0.199447887
C01048	2.373888693
C08814	-0.205205688
C04503	-0.886469789
C08615	-1.37175938
C00041	-0.2893596
C03444	0.877282824
C02860	1.559220866
C14309	-0.327420357
C10409	0.71350495
C06558	0.778431999
C02240	-1.027296477
C00239	-0.506117999
C01150	-0.723573167
C16168	1.639429593
C00175	0.605016026
C06141	0.678870183
C03773	-0.125051452
C04437	-0.244113009
C13556	0.321360688
C05576	1.9156837
C01659	0.516221502
C14524	1.474978753
C05110	-0.782048815
C00344	-1.415504746
C05837	0.308819728
C02314	-0.767280329
C09305	1.532538962
C00519	-0.633312296
C03917	0.074950574
C12600	-2.899781185
C13827	-0.136881951
C11039	0.100232744
C11018	0.323877195
C01590	0.274774243
C05297	-0.367064159
C08507	-0.703776539
C09869	0.540864573
C12263	-0.181120448
C00918	-0.451881362
C10216	-0.526950125
C09347	-0.662612493
C02132	-0.786679976
C01228	0.870587404
C00986	-1.449998284
C15673	-0.523892891
C08427	0.426493451
C11196	1.709715917
C00047	0.120751071
C06353	0.917831387
C05768	0.261868956
C02160	2.726633173
C03402	-0.131906952
C08115	0.898238405
C10983	-1.650398836
C03892	0.681325919
C03679	1.001588308
C11147	1.18749734
C02046	-0.121037496
C05200	-2.330084212
C03802	0.319452933
C15584	-0.212113904
C01419	-1.616828477
C00001	1.031208674
C08626	1.254080444
C03154	0.70879943
C00024	2.040440094
C02055	1.876601824
C14690	-0.625013335
C00779	0.625328922
C14429	0.834094555
C14299	0.02177638
C03300	-1.254739296
C02119	0.633511396
C01407	-0.747223729
C02225	1.20626732
C08277	0.317394174
C01479	1.731669354
C08390	0.191255359
C12058	-0.520948332
C00474	-1.324355591
C05202	-0.763665355
C04280	0.072562849
C04213	0.717866221
C04372	0.15365223
C15568	1.468070442
C11434	0.203542514
C14358	-2.126945507
C06687	-1.538014412
C03772	-0.263638069
C05335	0.315970412
C07880	1.591163775
C04592	-0.731518484
C08612	-0.832261327
C05933	-0.770437757
C10910	-1.434424006
C05359	0.101810568
C07084	0.346978264
C06188	-0.682316726
C05123	-0.483828999
C10101	0.356570221
C03215	0.525706841
C06814	-0.584142253
C09164	0.333099002
C00647	0.470131335
C08576	0.732661816
C04076	-0.301539184
C18049	0.718605594
C01313	-1.689968005
C07415	0.322164343
C07594	0.446968463
C07405	0.091530285
C00364	-0.067583343
C08422	-0.285805872
C01292	-0.042260422
C14285	-0.076254604
C05143	1.375151054
C11436	-1.503808163
C14417	-0.678791517
C03189	0.773589877
C05442	0.69093703
C06976	1.411946431
C05267	0.118154341
C08129	0.309825618
C01268	0.965945704
C04598	0.716917841
C14437	-0.001811592
C00363	-0.453870216
C03737	1.284038065
C00473	0.747074373
C03062	0.555655332
C02809	1.001590819
C04271	1.013753053
C18019	0.506098974
C02315	0.231266215
C02909	-1.168359038
C04169	0.98321852
C02518	1.280088436
C00353	-0.769681657
C07174	1.785503818
C01604	0.289437658
C14214	-0.818200252
C06408	-0.053027793
C06999	-0.572616978
C03072	-2.165847864
C08367	1.19865394
C05961	1.762693797
C03575	0.982543655
C00511	-0.363162548
C05581	1.47742661
C04930	-1.963525369
C05653	-0.428494486
C06530	0.015555221
C00020	-0.953183243
C01034	-1.524030185
C02781	-0.555819486
C07833	0.386404561
C11030	1.850593705
C00283	0.619095918
C05102	1.583319278
C03467	1.381387014
C06468	-0.178560626
C08095	1.176420041
C00149	0.795857417
C06154	-1.133538046
C00424	-0.542619998
C07669	-0.694917719
C10202	-1.385562927
C00988	0.775112165
C02667	-0.86574958
C03953	0.315418802
C00783	-0.596317222
C00366	-0.484294445
C17568	0.919050909
C08160	-1.179552505
C06793	-0.024842605
C07825	0.266229472
C14054	-0.618382496
C02304	-0.135870709
C16432	1.886578807
C06157	-0.624562622
C07108	-1.56685313
C03160	-0.408776355
C02726	-0.112198506
C07760	0.600096028
C00832	1.399670177
C05467	1.11065669
C05380	0.106693741
C06121	1.676613035
C05823	1.383752291
C04877	-2.259383019
C02107	-0.461153929
C02517	-0.112090801
C09103	1.912867901
C13199	1.687677764
C01355	-0.107443364
C06265	-2.045624299
C05487	0.458520183
C14689	-0.82777625
C02921	1.070838088
C09544	-1.266220893
C00841	-0.878411594
C06023	-0.320812354
C06420	-0.975370658
C06808	0.495677411
C01172	1.716208831
C12413	1.968939265
C00494	0.681321769
C01306	-1.023590418
C06918	0.1345184
C00581	0.170108074
C09820	-0.432536807
C12626	0.420526744
C08302	0.860293822
C16303	2.739473801
C01100	0.677597681
C18412	-1.053158006
C07865	-1.519797967
C07192	0.138322943
C03000	1.270431242
C12212	0.986427699
C07668	0.025297732
C12640	1.380856269
C03998	-1.329235214
C07928	-0.157731431
C05177	-1.410082878
C03071	-0.953405843
C11766	-0.484840036
C18211	1.759298404
C08513	-0.561035387
C17703	-0.960260212
C09700	0.416718648
C00510	-0.893197281
C05705	-1.540162467
C05270	0.751620968
C18248	0.625774631
C17931	-0.710927718
C17268	-0.208193685
C09167	0.277691517
C00417	-0.657698321
C11369	1.505183022
C07054	0.466761403
C08980	0.334618428
C01432	0.009539864
C06028	0.227071652
C15809	-0.020113169
C01205	0.383252255
C01212	-0.437224582
C01892	1.070230785
C01484	1.6699017
C14184	-1.320925238
C09390	0.159293711
C05593	0.413299468
C03284	-0.071628945
C00346	1.651241697
C02872	0.010531822
C06969	-0.40984103
C04536	0.086719654
C05794	-0.615243261
C01086	-0.223951827
C08159	0.698203377
C07819	-0.491097019
C11902	1.032606532
C02630	0.981136251
C19132	-1.148210213
C00800	1.345624387
C06508	1.343093134
C03872	0.153273622
C11437	1.088878636
C03248	-1.595329176
C06930	0.61197893
C10580	-0.598071461
C09891	-0.084581894
C01341	-0.251220007
C05904	0.113236348
C03848	1.179783388
C00865	-0.518495327
C06352	-0.28164399
C09637	0.005685842
C16569	0.916716758
C10629	-1.071790866
C07049	0.344841648
C06427	1.047867002
C07251	0.954907544
C08459	1.058061725
C02034	-2.164194242
C03817	0.418800418
C01570	-0.466641236
C11380	0.166353737
C08439	0.941538959
C11383	-0.866170352
C04882	-1.590810695
C02010	0.513824188
C13281	-1.137795092
C00869	0.241434523
C04193	-0.546781494
C01050	0.255236643
C02137	-0.421015786
C03366	1.44005902
C07267	0.834415553
C10783	0.03637787
C01950	0.94019961
C06027	0.040508379
C14039	0.8132159
C05378	-0.882737325
C02497	0.200972396
C06917	1.640090077
C01863	-1.537077994
C14717	-1.524194809
C14673	2.078148759
C07612	0.5965547
C08250	-0.101184792
C03124	0.695932399
C03796	-1.107140943
C09419	-0.359072238
C02914	0.347836643
C18129	0.296021892
C08578	-0.808212994
C08235	-1.360734488
C00442	0.425840072
C06089	1.013246537
C02896	1.33243883
C06091	0.330605588
C05271	0.159625823
C04642	0.36866104
C00250	1.615904097
C02658	-0.166899885
C16795	0.857655039
C07490	1.025924748
C00786	-1.394170792
C00206	1.880967124
C16154	-1.187305882
C04939	0.034850925
C13038	0.795822947
C02549	-0.711768834
C05109	-1.719289545
C07250	0.481666573
C07339	0.621140667
C03146	0.821121367
C14337	0.267893908
C00314	0.334005183
C00810	0.355220096
C13681	0.851882298
C00233	-0.575800562
C11025	-0.109460492
C12293	0.607941305
C06915	1.463180549
C04867	-0.127355806
C09086	1.335970734
C11415	0.093725719
C01280	-0.690298382
C01766	-0.682900111
C06933	-2.01922967
C11242	0.560878966
C07156	1.116381268
C14674	-0.225063192
C06658	-1.82219812
C05519	-0.553680878
C04521	-0.301160593
C18605	-0.194828991
C09097	-1.106032697
C10314	2.277526431
C11867	-0.575818755
C06644	0.446905444
C00831	-1.236308156
C00921	1.652697637
C05336	-1.273763823
C07275	-0.147305238
C09854	-0.484734353
C07040	0.273892121
C09868	-1.350167344
C08320	0.795813873
C05994	-0.341672912
C12248	-2.230817427
C06802	-1.242442141
C03052	0.643426336
C02888	-1.708396956
C09893	0.286023879
C05433	0.666703745
C02081	-0.648477705
C02825	-0.236337172
C06690	-0.312902213
C00090	-0.829098978
C09624	-0.385913315
C01113	0.669531646
C11126	1.060591373
C08293	-0.920148138
C00754	1.643619633
C10119	-0.608711194
C07212	0.068653831
C06411	-0.169184187
C02043	0.323812883
C05684	-0.725156551
C01937	0.256252368
C07608	-1.725161402
C01289	1.26001673
C04917	-1.340011112
C03661	-0.839995778
C04534	-0.405659699
C07178	2.306589246
C06946	-0.372592672
C06406	1.371913135
C03895	-1.481383352
C16258	-0.597563861
C05278	0.798193791
C15767	1.368819797
C08392	0.635135378
C11849	-0.224054533
C00738	-0.532949583
C02057	-2.447997264
C10163	-0.076423378
C15558	0.109242424
C02539	0.34761995
C01121	2.279801601
C06729	-0.678603101
C00604	-0.507383734
C14317	-0.377829589
C07590	0.979092371
C15569	-1.648777587
C02762	0.844087321
C03667	-0.07215408
C10695	1.048942548
C05512	0.270835361
C03979	-0.958580914
C01557	2.719066137
C07502	-0.197892311
C00809	-0.525156968
C07778	1.245566769
C06131	0.759950882
C05422	2.353066192
C06341	0.002409715
C06548	0.211620213
C09162	-1.279291239
C11450	0.054919636
C06367	-0.13615418
C05261	-0.603778242
C00179	-1.329325411
C06419	-0.924957229
C06464	0.573234098
C07120	-0.058394858
C07581	-0.492662124
C13433	-0.210195722
C00506	1.143165589
C00514	-0.803068969
C11721	-0.63284268
C03419	1.625850662
C03281	-0.181821462
C00120	-0.962541847
C06196	-1.282926336
C03640	0.18886055
C03672	-1.190030138
C11307	-1.644474746
C09332	0.050302332
C03837	0.304934609
C06176	0.055564378
C12987	-1.193346447
C09239	0.633678895
C01324	-0.424454839
C07271	0.987977025
C14818	0.764383636
C04944	-0.089337211
C11166	-1.103881938
C00739	-0.14137008
C08322	-0.655841138
C14779	1.603822851
C05950	0.224218886
C00686	-0.120442086
C02792	0.471432533
C02411	0.010903186
C00854	-1.606482752
C02376	-0.236194569
C04840	-2.183585246
C02895	-0.682167941
C02774	-0.963576555
C05058	0.755040186
C02678	1.897272671
C03023	0.377239422
C00008	0.736896552
C09833	-0.026379202
C14439	0.366238199
C05114	0.761946366
C03590	-1.451914834
C11944	-0.287342661
C14762	-0.291066022
C07931	0.452606996
C00568	-0.20323893
C07146	-1.266893934
C00447	0.859932434
C07750	-1.907743807
C00984	-1.385045232
C00378	-0.00081965
C10627	-0.282279704
C06201	-0.155749366
C02216	0.389267381
