	name	baseMean	log2FoldChange	padj
ENSG00000005059	CCDC109B	1101.906422	1.338137985	4.41E-05
ENSG00000005073	HOXA11	0.144826001	1.397417684	NA
ENSG00000005075	POLR2J	1460.094549	1.209871425	0.000521985
ENSG00000005100	DHX33	822.673107	1.512144221	9.14E-05
ENSG00000005102	MEOX1	0.049753933	0.732611329	NA
ENSG00000005108	THSD7A	0.179226828	0.10454477	NA
ENSG00000005156	LIG3	893.7696295	0.233080457	0.484115277
ENSG00000005175	RPAP3	961.4609106	2.439570534	2.06E-11
ENSG00000005187	ACSM3	230.2013851	-2.932444343	1.54E-07
ENSG00000005189		97.25614045	4.063100305	7.43E-09
ENSG00000005194	CIAPIN1	1009.220043	0.734109153	0.004550559
ENSG00000005206	SPPL2B	1343.522011	-2.050219949	2.23E-05
ENSG00000005238	FAM214B	327.0753894	0.903697577	0.02462553
ENSG00000005243	COPZ2	47.90416912	2.732239345	8.38E-06
ENSG00000005249	PRKAR2B	140.207221	1.387145748	0.017469492
ENSG00000005302	MSL3	1880.351718	-0.785647963	0.042595534
ENSG00000005339	CREBBP	5667.418551	-2.892811007	4.13E-14
ENSG00000005379	BZRAP1	507.3876808	-3.068940833	1.71E-07
ENSG00000005381	MPO	3.16602708	0.500686854	0.702611725
ENSG00000005421	PON1	1.46344288	-2.053851787	0.246995258
ENSG00000005436	GCFC2	467.0088955	0.354275392	0.17772556
ENSG00000005448	WDR54	480.2892712	3.18724462	7.47E-36
ENSG00000005469	CROT	189.1767425	1.495201834	6.90E-06
ENSG00000005471	ABCB4	118.0695323	-2.31334277	1.07E-05
ENSG00000005483	KMT2E	6793.227152	-2.583274239	9.85E-21
ENSG00000005486	RHBDD2	930.6058332	-2.173215533	1.53E-11
ENSG00000005513	SOX8	2.876862788	-3.917831373	0.01258927
ENSG00000005700	IBTK	2725.602706	1.862035371	3.33E-12
ENSG00000005801	ZNF195	597.2318422	0.837563118	0.003223532
ENSG00000005810	MYCBP2	5821.150998	-1.385505947	0.000263522
ENSG00000005812	FBXL3	2247.471691	-1.306013399	3.24E-05
ENSG00000005844	ITGAL	6308.336177	2.399006949	1.82E-14
ENSG00000005882	PDK2	315.1728879	0.869774645	0.001060379
ENSG00000005884	ITGA3	309.9517053	1.617415976	1.62E-05
ENSG00000005889	ZFX	1767.508551	-1.224967673	0.00213127
ENSG00000005893	LAMP2	4644.222449	1.430212647	0.000171637
ENSG00000005955	GGNBP2	3294.032411	-2.275174765	2.72E-20
ENSG00000005961	ITGA2B	25.59634678	-4.352087544	2.76E-06
ENSG00000006007	GDE1	1182.165779	-0.396028018	0.285431011
ENSG00000006015	C19orf60	325.4137126	-0.12279926	0.730467526
ENSG00000006016	CRLF1	10.17710102	-1.815953954	0.028802357
ENSG00000006025	OSBPL7	564.2458966	-0.990228916	0.002628119
ENSG00000006042	TMEM98	9.025426703	5.434401539	1.03E-05
ENSG00000006047	YBX2	1.601787148	4.034234925	0.01283342
ENSG00000006062	MAP3K14	1335.789282	-1.754701705	3.79E-06
ENSG00000006071	ABCC8	1.697322748	-3.54273573	0.029443318
ENSG00000006075	CCL3	337.2723005	6.330165837	2.99E-36
ENSG00000006114	SYNRG	3601.921922	-0.059574689	0.892684671
ENSG00000006116	CACNG3	0.334022778	-1.135248742	NA
ENSG00000006118	TMEM132A	24.02397316	-3.427853736	8.22E-10
ENSG00000006125	AP2B1	3515.26676	1.511149414	0.000146133
ENSG00000006194	ZNF263	1031.163619	-0.793273347	0.000463138
ENSG00000006210	CX3CL1	0.090857703	1.112058521	NA
ENSG00000006282	SPATA20	723.834618	-0.964032312	0.022485066
ENSG00000006283	CACNA1G	0.662822294	-0.547349501	0.797125726
ENSG00000006327	TNFRSF12A	11.68054188	1.606756986	0.019292877
ENSG00000006432	MAP3K9	938.8644231	-2.257778226	1.07E-08
ENSG00000006451	RALA	1051.987228	-0.041753273	0.940855008
ENSG00000006453	BAIAP2L1	40.62673396	-0.082652528	0.925312049
ENSG00000006459	KDM7A	2415.535211	-3.291539356	1.11E-26
ENSG00000006468	ETV1	0.19469065	1.580568385	NA
ENSG00000006530	AGK	775.112903	0.546516312	0.096207371
ENSG00000006534	ALDH3B1	16.16503567	-0.972425004	0.246950871
ENSG00000006555	TTC22	135.7393302	3.165368953	1.84E-14
ENSG00000006576	PHTF2	2923.537361	-0.338111065	0.337639708
ENSG00000006607	FARP2	2038.961014	-1.955024487	1.39E-13
ENSG00000006625	GGCT	532.1069338	4.226570435	4.92E-64
ENSG00000006634	DBF4	2550.016837	-0.561781247	0.062513149
ENSG00000006638	TBXA2R	3.584778293	-0.685760794	0.605317032
ENSG00000006652	IFRD1	1859.237383	-1.664309215	3.45E-06
ENSG00000006659	LGALS14	1.691314132	3.367726999	0.040491811
ENSG00000006695	COX10	389.18976	1.227476344	0.000607087
ENSG00000006704	GTF2IRD1	1.570377333	-0.383436194	0.841351408
ENSG00000006712	PAF1	1597.941802	-0.08802603	0.843709829
ENSG00000006715	VPS41	947.4969336	0.691314259	0.062515764
ENSG00000006740	ARHGAP44	129.3499933	-0.056016645	NA
ENSG00000006744	ELAC2	1834.245354	0.905391805	0.003795058
ENSG00000006747	SCIN	114.7204972	1.340131148	0.081937282
ENSG00000006756	ARSD	38.11178562	1.412278184	0.020736802
ENSG00000006757	PNPLA4	250.7533393	2.36433874	5.31E-06
ENSG00000006788	MYH13	0.478260406	-1.756832952	0.359758905
ENSG00000006831	ADIPOR2	2008.557599	1.645460252	1.74E-05
ENSG00000006837	CDKL3	8.890513113	0.076029814	0.942629737
ENSG00000007001	UPP2	0.641764634	2.343197129	0.197023184
ENSG00000007038	PRSS21	122.3247467	1.73713713	0.021133088
ENSG00000007047	MARK4	406.1604638	-0.582559638	0.1727906
ENSG00000007062	PROM1	0.170242201	0.205431671	NA
ENSG00000007080	CCDC124	531.8534316	1.984919823	3.25E-06
ENSG00000007129	CEACAM21	298.8533656	0.900354904	0.033238881
ENSG00000007168	PAFAH1B1	4016.522778	-0.176686441	0.652673358
ENSG00000007171	NOS2	2.291590757	-1.794469623	0.274736995
ENSG00000007174	DNAH9	0.739498963	-2.320058596	0.214508125
ENSG00000007202	KIAA0100	4615.521209	-0.061627042	0.897137742
ENSG00000007216	SLC13A2	0.09166694	0	NA
ENSG00000007237	GAS7	21.71244376	-0.742291829	0.395389725
ENSG00000007255	TRAPPC6A	364.9584837	-0.189436138	0.640809752
ENSG00000007264	MATK	16.81241865	0.555245585	0.620166384
ENSG00000007306	CEACAM7	0.082192395	0	NA
ENSG00000007312	CD79B	3085.261912	-0.691522084	0.033494939
ENSG00000007314	SCN4A	25.5751585	-0.913135878	0.299765472
ENSG00000007341	ST7L	168.4782495	0.147250812	0.650854121
ENSG00000007350	TKTL1	14.85840959	-0.509482297	0.57953009
ENSG00000007372	PAX6	41.70682003	0.446121763	0.462580474
ENSG00000007376	RPUSD1	540.48976	1.539096639	8.18E-07
ENSG00000007384	RHBDF1	20.35546734	-2.496454314	1.31E-05
ENSG00000007392	LUC7L	1310.057778	-1.840550837	5.50E-05
ENSG00000007402	CACNA2D2	20.55961086	-2.535964194	2.08E-05
ENSG00000007516	BAIAP3	981.3701688	-7.378703158	1.95E-44
ENSG00000007520	TSR3	370.6512893	1.77528309	1.35E-05
ENSG00000007541	PIGQ	431.3302727	-0.075594694	0.859952351
ENSG00000007545	CRAMP1L	393.2154988	-1.717958153	2.83E-06
ENSG00000007866	TEAD3	11.47347548	2.10245969	0.089000064
ENSG00000007908	SELE	0.309556758	-2.043663587	NA
ENSG00000007923	DNAJC11	706.9154512	1.332451355	8.72E-07
ENSG00000007933	FMO3	0.750332989	-1.826788376	0.340563485
ENSG00000007944	MYLIP	1273.474119	-4.154671674	7.55E-51
ENSG00000007952	NOX1	5.170833507	-0.351918401	0.74860683
ENSG00000007968	E2F2	2166.966177	7.180736227	9.55E-88
ENSG00000008018	PSMB1	4890.699611	0.595626251	0.039348013
ENSG00000008056	SYN1	0.970177573	-0.83537567	0.671110716
ENSG00000008083	JARID2	1454.373408	-1.841423644	1.76E-08
ENSG00000008086	CDKL5	72.51582082	-0.753638196	0.256890878
ENSG00000008128	CDK11A	299.0350306	-3.031878334	3.56E-09
ENSG00000008130	NADK	2364.859792	0.143998427	0.655972558
ENSG00000008226	DLEC1	33.44011238	-3.423232215	5.49E-10
ENSG00000008256	CYTH3	56.65191741	-2.663912451	6.33E-08
ENSG00000008277	ADAM22	39.90360034	0.676703056	0.36420353
ENSG00000008282	SYPL1	1379.780544	-2.341664589	8.13E-09
ENSG00000008283	CYB561	315.3896277	-0.498021371	0.462342494
ENSG00000008294	SPAG9	1991.996343	-1.180072553	1.67E-05
ENSG00000008300	CELSR3	265.6792535	-0.601309374	0.255872939
ENSG00000008311	AASS	58.00422055	0.681691389	0.354567041
ENSG00000008323	PLEKHG6	0.238822422	-1.861664799	NA
ENSG00000008324	SS18L2	1150.414527	-0.118518929	0.85421406
ENSG00000008382	MPND	205.9853335	1.714768824	0.000947041
ENSG00000008394	MGST1	20.97147218	6.130968597	1.06E-09
ENSG00000008405	CRY1	381.497651	0.430760734	0.560975874
ENSG00000008438	PGLYRP1	2.330959768	3.015631528	0.050344313
ENSG00000008441	NFIX	23.1971556	-3.693985214	1.41E-08
ENSG00000008513	ST3GAL1	851.6346433	-0.107383294	0.844292673
ENSG00000008516	MMP25	30.51932641	3.465794141	2.23E-07
ENSG00000008517	IL32	564.535032	6.361751521	3.58E-20
ENSG00000008710	PKD1	1780.01685	-1.119319438	0.002912179
ENSG00000008735	MAPK8IP2	9.169233811	-1.69885861	0.055641076
ENSG00000008838	MED24	1726.63168	0.875454694	0.008334721
ENSG00000008853	RHOBTB2	605.0520207	0.371542753	0.464323656
ENSG00000008869	HEATR5B	1230.506323	0.394239595	0.260799875
ENSG00000008952	SEC62	6548.262857	0.323267103	0.544176518
ENSG00000008988	RPS20	76667.59555	-1.766369154	0.083469558
ENSG00000009307	CSDE1	18301.40674	-0.813739521	0.034399093
ENSG00000009335	UBE3C	2554.213823	0.84979823	0.009396962
ENSG00000009413	REV3L	1293.85272	-0.774252672	0.033491632
ENSG00000009694	TENM1	3.291400109	-2.940235812	0.091896863
ENSG00000009724	MASP2	211.4052999	-3.528601353	2.93E-08
ENSG00000009780	FAM76A	378.6639363	-1.584446521	8.63E-09
ENSG00000009790	TRAF3IP3	2481.73448	1.927156593	1.69E-09
ENSG00000009830	POMT2	252.1872191	-0.898485719	0.005684864
ENSG00000009844	VTA1	1329.213016	0.618880532	0.090211559
ENSG00000009950	MLXIPL	0.273225861	-1.45443749	NA
ENSG00000009954	BAZ1B	4307.456091	0.964584297	0.008677063
ENSG00000010017	RANBP9	1765.696927	-0.470318621	0.296579368
ENSG00000010030	ETV7	79.09578415	0.916155536	0.30116589
ENSG00000010072	SPRTN	383.5959837	-0.803315477	0.004721776
ENSG00000010165	METTL13	1033.080167	2.697394495	1.12E-10
ENSG00000010219	DYRK4	431.8087478	0.758098013	0.155288998
ENSG00000010244	ZNF207	6079.791259	-0.360303268	0.03237792
ENSG00000010256	UQCRC1	2505.872473	2.690157317	3.14E-19
ENSG00000010270	STARD3NL	914.9604438	0.590951358	0.191790189
ENSG00000010278	CD9	152.0672116	1.745983736	0.003747142
ENSG00000010282	HHATL	0.209305185	0.900279358	NA
ENSG00000010292	NCAPD2	4061.153982	4.697738589	1.75E-28
ENSG00000010295	IFFO1	683.612081	-0.461222832	0.277356431
ENSG00000010310	GIPR	294.7236857	1.977366466	0.002357529
ENSG00000010318	PHF7	180.3468258	-0.856302651	0.002996817
ENSG00000010319	SEMA3G	15.01895061	2.488373647	0.00245814
ENSG00000010322	NISCH	2388.029942	-1.412521757	2.03E-06
ENSG00000010327	STAB1	2.843535764	-2.48409526	0.029135601
ENSG00000010361	FUZ	183.522151	0.216653919	0.552755697
ENSG00000010379	SLC6A13	9.997937011	1.334770182	0.219716397
ENSG00000010404	IDS	4917.384657	-1.70983433	9.78E-07
ENSG00000010438	PRSS3	0.85041153	0.709969642	0.725948312
ENSG00000010539	ZNF200	252.4993509	2.08370709	6.04E-12
ENSG00000010610	CD4	8.210388625	-6.136045211	3.29E-06
ENSG00000010626	LRRC23	78.30376915	-0.259670863	0.637575721
ENSG00000010671	BTK	3529.820743	1.565976384	1.64E-10
ENSG00000010704	HFE	88.50354242	2.941503469	2.12E-12
ENSG00000010803	SCMH1	651.9366455	-0.358914764	0.193763338
ENSG00000010810	FYN	371.9427558	-1.308404398	0.000851478
ENSG00000010818	HIVEP2	1517.504466	-0.798413019	0.036958886
ENSG00000010932	FMO1	5.301909188	0.951740995	0.317293544
ENSG00000011007	TCEB3	1862.350211	-0.574539582	0.164425566
ENSG00000011009	LYPLA2	1059.438565	0.655473779	0.080919616
ENSG00000011021	CLCN6	942.268698	-1.717508606	8.61E-09
ENSG00000011028	MRC2	52.64285526	3.542088369	0.006926458
ENSG00000011105	TSPAN9	7.40406782	-1.796429821	0.060544913
ENSG00000011114	BTBD7	1080.568805	-1.033174887	0.00116827
ENSG00000011132	APBA3	421.0031236	0.038537287	0.944936042
ENSG00000011143	MKS1	172.484564	3.385802901	2.11E-31
ENSG00000011198	ABHD5	364.8604305	1.397214802	0.000255488
ENSG00000011243	AKAP8L	1461.960692	-0.995184264	0.00018176
ENSG00000011258	MBTD1	940.4450788	-2.295027878	1.21E-33
ENSG00000011260	UTP18	1178.447865	0.17938914	0.632511979
ENSG00000011275	RNF216	1612.866292	-2.201409197	3.98E-15
ENSG00000011295	TTC19	984.6006999	-0.607558839	0.045534582
ENSG00000011304	PTBP1	6753.010561	1.334956846	0.000502572
ENSG00000011332	DPF1	23.11263804	0.01487066	0.987192392
ENSG00000011347	SYT7	0.744597798	0.052412	0.986131695
ENSG00000011376	LARS2	616.3517045	1.224296055	0.001343624
ENSG00000011405	PIK3C2A	2110.021954	-1.737374537	6.02E-10
ENSG00000011422	PLAUR	30.04706824	0.132450701	0.882543069
ENSG00000011426	ANLN	510.839381	7.604883496	1.19E-49
ENSG00000011451	WIZ	922.9139466	0.054199277	0.876522664
ENSG00000011454	RABGAP1	1197.648902	-1.023431374	1.02E-05
ENSG00000011478	QPCTL	614.8442894	1.508421926	5.01E-07
ENSG00000011485	PPP5C	1170.384543	2.58210101	5.55E-14
ENSG00000011523	CEP68	682.2670671	-1.23292027	0.004982565
ENSG00000011566	MAP4K3	368.6036565	-1.506450451	3.12E-06
ENSG00000011590	ZBTB32	1294.087049	0.595220603	0.245785818
ENSG00000011600	TYROBP	15.1674938	-4.011040179	1.46E-05
ENSG00000011638	TMEM159	266.901783	-2.100115959	1.29E-17
ENSG00000011677	GABRA3	0.048275334	0.720779922	NA
ENSG00000012048	BRCA1	952.7756148	6.679541248	4.76E-76
ENSG00000012061	ERCC1	757.1010888	0.352124474	0.1574313
ENSG00000012124	CD22	1822.895751	-2.518566887	3.47E-21
ENSG00000012171	SEMA3B	18.80363395	-3.016268095	3.62E-05
ENSG00000012174	MBTPS2	754.288884	2.045484799	3.36E-07
ENSG00000012211	PRICKLE3	199.5350049	2.292514898	4.07E-10
ENSG00000012223	LTF	3.24268978	0.6792345	0.702593992
ENSG00000012232	EXTL3	687.7200224	0.662500089	0.196507689
ENSG00000012660	ELOVL5	3983.65008	-0.287890377	0.486603374
ENSG00000012779	ALOX5	2551.888771	-2.744724693	2.54E-11
ENSG00000012817	KDM5D	5194.11025	-0.420056605	0.845748612
ENSG00000012822	CALCOCO1	2019.177934	-1.508419249	0.000147478
ENSG00000012963	UBR7	1337.526162	0.97132607	0.062370347
ENSG00000012983	MAP4K5	1207.571421	-1.340330647	1.36E-09
ENSG00000013016	EHD3	1175.381034	0.883917176	0.070383489
ENSG00000013275	PSMC4	2289.618417	1.062136333	0.004426294
ENSG00000013288	MAN2B2	1198.668959	-0.794789509	0.023641439
ENSG00000013297	CLDN11	2.727155387	-0.677906291	0.641804997
ENSG00000013306	SLC25A39	2835.563492	1.111082003	4.07E-07
ENSG00000013364	MVP	3647.473244	0.891519708	0.036958886
ENSG00000013374	NUB1	1112.022549	-1.250472725	0.00021726
ENSG00000013375	PGM3	1579.378944	0.358706338	0.224015284
ENSG00000013392	RWDD2A	475.0024607	1.480434646	7.16E-05
ENSG00000013441	CLK1	6572.531731	-3.438183275	4.53E-19
ENSG00000013503	POLR3B	364.8342508	1.857376367	3.74E-05
ENSG00000013523	ANGEL1	553.8315618	0.506904544	0.171263884
ENSG00000013561	RNF14	1046.213356	1.40913707	1.01E-06
ENSG00000013563	DNASE1L1	164.1778998	-1.103173222	3.47E-06
ENSG00000013573	DDX11	1362.615351	1.13211799	0.01864022
ENSG00000013583	HEBP1	157.3484116	3.63028916	3.79E-12
ENSG00000013588	GPRC5A	0.500450746	0.961037409	0.636489813
ENSG00000013619	MAMLD1	14.87140268	-0.436021014	0.702451164
ENSG00000013725	CD6	192.4973221	-7.616252634	1.47E-22
ENSG00000013810	TACC3	1834.188134	1.324453832	0.005508041
ENSG00000014123	UFL1	2594.746011	0.536993929	0.109633695
ENSG00000014138	POLA2	848.7620016	3.448945607	1.97E-18
ENSG00000014164	ZC3H3	522.6141101	0.033669451	0.944936042
ENSG00000014216	CAPN1	2803.786118	1.532898136	3.20E-05
ENSG00000014257	ACPP	11.73095039	3.398333421	0.001990012
ENSG00000014641	MDH1	4038.506404	2.209144001	2.93E-12
ENSG00000014824	SLC30A9	1455.679633	0.838056569	0.000724164
ENSG00000014914	MTMR11	6.596059059	4.123014301	0.000352488
ENSG00000014919	COX15	1128.276396	3.163006506	5.06E-32
ENSG00000015133	CCDC88C	4541.357524	-1.077508534	7.91E-07
ENSG00000015153	YAF2	1063.648369	-1.45180829	0.00038243
ENSG00000015171	ZMYND11	1175.491633	-0.379434747	0.344399609
ENSG00000015285	WAS	1805.456732	1.409936661	8.90E-05
ENSG00000015413	DPEP1	7.78850493	-2.521065052	0.07394662
ENSG00000015475	BID	509.978298	-0.141681798	0.804464171
ENSG00000015479	MATR3	11956.22047	-0.904776436	0.012120333
ENSG00000015520	NPC1L1	1.676673521	-3.175735486	0.028203534
ENSG00000015532	XYLT2	401.4372467	0.437439878	0.115926676
ENSG00000015568	RGPD5	5052.487518	-3.876428262	7.15E-39
ENSG00000015592	STMN4	0.048275334	0.720779922	NA
ENSG00000015676	NUDCD3	1457.043584	0.457289896	0.196137176
ENSG00000016391	CHDH	65.66523846	-0.437735182	0.619418133
ENSG00000016602	CLCA4	0.661691539	-1.229164187	0.538711075
ENSG00000016864	GLT8D1	932.123287	1.03171358	0.000650406
ENSG00000017260	ATP2C1	1895.769035	1.034313725	0.000149361
ENSG00000017373	SRCIN1	1.663339362	-0.020612991	0.996068604
ENSG00000017427	IGF1	1301.209792	5.289095353	8.46E-21
ENSG00000017483	SLC38A5	2568.23791	4.730552374	6.51E-50
ENSG00000017621	MAGIX	21.74063635	0.674470971	0.191567449
ENSG00000017797	RALBP1	1203.893592	3.206156161	2.87E-11
ENSG00000018189	RUFY3	1016.962	-0.484943399	0.164892173
ENSG00000018280	SLC11A1	10.25762991	-0.88139661	0.273820091
ENSG00000018408	WWTR1	32.05800623	0.753810516	0.098398134
ENSG00000018510	AGPS	1361.25045	1.958994379	1.78E-08
ENSG00000018610	CXorf56	610.2981815	-0.584697868	0.088030086
ENSG00000018625	ATP1A2	0.324524112	-1.286905331	NA
ENSG00000018699	TTC27	534.0065842	1.903996102	7.48E-08
ENSG00000018869	ZNF582	59.20992219	-0.685671772	0.039679812
ENSG00000019102	VSIG2	3.229935081	-1.903276834	0.100818328
ENSG00000019144	PHLDB1	7.530278858	-5.10669744	3.37E-07
ENSG00000019169	MARCO	0.168763602	0.197474442	NA
ENSG00000019186	CYP24A1	0.301886063	-1.029806668	NA
ENSG00000019485	PRDM11	56.07911557	-0.361341524	0.507269335
ENSG00000019505	SYT13	0.084044043	-1.256874438	NA
ENSG00000019549	SNAI2	1.508979356	0.988469337	0.609639158
ENSG00000019582	CD74	76095.80998	-1.586093896	0.000981851
ENSG00000019991	HGF	48.95600288	0.487117975	0.774047868
ENSG00000019995	ZRANB1	1479.570948	-2.124885201	1.80E-07
ENSG00000020129	NCDN	605.5970556	3.142224886	3.11E-17
ENSG00000020181	GPR124	1.625839186	1.139585512	0.511965576
ENSG00000020219	CCT8L1P	0.241398146	-1.811605953	NA
ENSG00000020256	ZFP64	500.0500908	3.333022669	9.01E-19
ENSG00000020426	MNAT1	339.0177516	2.150703097	4.09E-08
ENSG00000020577	SAMD4A	86.98563559	-3.194454313	1.22E-08
ENSG00000020633	RUNX3	5572.096747	-1.958778459	2.94E-06
ENSG00000020922	MRE11A	709.9688402	1.079018285	0.00028267
ENSG00000021300	PLEKHB1	46.67398003	-0.285013485	0.630387659
ENSG00000021355	SERPINB1	1131.501149	-1.020958749	0.014084353
ENSG00000021461	CYP3A43	1.538947799	-2.76371368	0.095099098
ENSG00000021488	SLC7A9	1.041354174	-0.693035278	0.728713975
ENSG00000021574	SPAST	853.6019841	0.91567733	0.002047149
ENSG00000021645	NRXN3	5.874212979	6.44121134	2.09E-05
ENSG00000021762	OSBPL5	2.055591949	-3.963093893	0.015809758
ENSG00000021776	AQR	2125.757344	-0.321700906	0.416509553
ENSG00000021826	CPS1	5.306146218	3.149418784	0.001902052
ENSG00000022267	FHL1	31.53741123	0.110718872	0.880818022
ENSG00000022277	RTFDC1	1499.594104	0.476343999	0.225448973
ENSG00000022556	NLRP2	844.0998528	2.198349349	0.054253994
ENSG00000022567	SLC45A4	263.5679125	-0.283242473	0.437482028
ENSG00000022840	RNF10	5450.636222	-0.777801768	0.044675559
ENSG00000022976	ZNF839	377.7464482	-0.790550562	0.009352577
ENSG00000023041	ZDHHC6	1254.070959	0.451976404	0.066664138
ENSG00000023171	GRAMD1B	37.70771055	-1.239178667	0.197834392
ENSG00000023191	RNH1	2713.763279	0.936866876	0.040104841
ENSG00000023228	NDUFS1	2623.499102	1.731611542	4.00E-07
ENSG00000023287	RB1CC1	2555.249043	-2.040671408	1.22E-11
ENSG00000023318	ERP44	4184.029615	1.369096215	7.57E-05
ENSG00000023330	ALAS1	985.3028977	1.791806838	3.25E-05
ENSG00000023445	BIRC3	3220.747147	-2.166250258	2.99E-09
ENSG00000023516	AKAP11	3118.481245	-0.147121862	0.644082085
ENSG00000023572	GLRX2	253.5509528	2.137745062	5.38E-14
ENSG00000023608	SNAPC1	133.2992817	1.436194487	1.04E-05
ENSG00000023697	DERA	878.162091	2.846935716	1.64E-13
ENSG00000023734	STRAP	4784.768356	-0.680797589	0.004464841
ENSG00000023839	ABCC2	132.2631773	-2.64810957	1.51E-10
ENSG00000023892	DEF6	2177.122698	0.107907611	0.738783157
ENSG00000023902	PLEKHO1	2122.812777	-1.43804307	8.56E-05
ENSG00000023909	GCLM	585.3258376	2.983092922	3.49E-14
ENSG00000024048	UBR2	2379.658198	-1.369452267	4.87E-06
ENSG00000024422	EHD2	0.389974309	-0.083320688	NA
ENSG00000024526	DEPDC1	776.1497598	9.207445177	2.66E-41
